date,Kiss Me More,Not In The Mood,Scorpio,Memory,Volvi,Have Mercy,Ya Superame ,One Mississippi,Sand In My Boots,If I Didn't Love You,Easy On Me,Baddest,Tequila Little Time,Half Of My Hometown,Ghost,Wild Side,Knife Talk,Love Again,Ain't Shit,Life Goes On,Wockesha,Too Easy,I Was On A Boat That Day,Montero ,Industry Baby,Cold Beer Calling My Name,Take My Breath,Essence,Thot Shit,Stay,Thinking 'Bout You,Bad Habits,Chosen,Traitor,Pissed Me Off,Praise God,Beggin',Switches & Dracs,Come Through,Lets Go Brandon,Leave The Door Open,Happier Than Ever,Let's Go Brandon,Family Ties,Fancy Like,Jugaste y Sufri,Maybach,Levitating,Hurricane,Shivers,Who Want Smoke??,Get Into It ,'Til You Can't,Cold Heart ,2055,Whole Lotta Money,Better Days,Same Boat,Good 4 U,For Tonight,Buy Dirt,Way 2 Sexy,A-O-K,Need To Know,Knowing You,Bubbly,Like A Lady,Fair Trade,Girls Want Girls,Heat Waves,Big Energy,Thats What I Want,You Should Probably Leave,In The Bible,Who's In Your Head,Meet Me At Our Spot,Cold As You,Esta Danada,You Right,Gyalis,Nevada,Lo Siento BB:/,WFM,Poke It Out,Moth To A Flame,Freedom Was A Highway,Whiskey And Rain,Money,To Be Loved By You,Woman,My Boy,Just About Over You,Pepas,My Universe,Love Nwantiti ,Memory I Don't Mess With,Sharing Locations,No Friends In The Industry,Save Your Tears,Chasing After You
2021-05-09,92,47,83,88,13,17,0,57,14,57,1,76,18,28,66,33,0,65,15,48,97,55,0,35,1,21,24,86,0,90,38,10,71,25,57,22,4,0,94,0,81,3,0,21,2,0,58,100,6,22,0,63,16,21,54,34,42,65,27,62,49,0,43,53,93,51,82,35,53,28,39,6,34,88,0,3,55,0,85,5,80,0,32,13,1,3,12,82,87,73,89,40,13,5,1,0,17,1,58,46
2021-05-16,94,65,85,93,10,17,0,20,20,8,1,61,53,32,66,31,2,69,13,43,85,63,45,32,1,31,24,83,0,89,61,9,68,51,25,16,3,0,86,0,79,6,0,15,3,2,70,98,8,17,0,67,16,21,49,33,50,77,95,64,39,1,28,53,80,54,75,41,43,34,48,9,97,89,0,5,56,0,83,6,80,0,33,17,4,3,0,83,50,76,96,63,13,8,0,0,7,0,57,31
2021-05-23,100,84,89,93,8,23,0,52,14,32,1,64,27,23,65,31,0,62,11,42,72,48,45,40,2,10,23,82,1,87,52,10,73,100,25,17,6,0,89,0,81,7,0,21,2,7,71,95,6,17,0,66,32,20,72,27,66,70,100,69,45,0,14,57,73,52,79,38,47,33,42,4,11,85,0,4,83,1,83,7,78,0,35,17,3,0,0,80,81,68,91,72,15,5,1,0,10,0,86,23
2021-05-30,82,42,90,89,6,23,0,41,5,0,1,75,36,32,69,37,1,91,10,40,75,49,45,36,1,10,22,82,0,88,57,8,60,85,57,19,13,0,81,0,70,5,0,17,2,0,63,87,6,17,0,64,0,15,43,37,66,66,76,68,51,1,14,53,69,58,100,33,44,27,52,6,30,85,0,4,64,0,85,5,78,0,35,4,1,6,25,82,67,67,95,60,15,5,0,0,14,0,100,26
2021-06-06,86,67,88,90,13,17,0,29,20,0,1,75,36,9,67,30,1,93,15,41,72,50,62,35,1,31,23,81,86,86,42,8,66,70,38,21,24,0,75,0,66,3,0,16,4,2,65,71,6,20,0,61,16,18,66,27,64,72,69,74,37,0,21,62,78,62,77,32,41,34,49,7,26,84,0,4,73,0,82,10,79,0,41,35,1,3,25,80,100,67,90,61,14,4,1,0,14,0,76,29
2021-06-13,80,41,89,90,10,14,0,40,19,8,1,80,62,9,63,35,1,80,20,39,64,45,56,33,0,10,17,78,94,92,51,11,62,66,12,23,42,0,78,0,55,2,0,21,12,11,70,68,9,18,0,64,32,14,62,34,42,83,53,65,37,0,21,68,69,89,72,35,45,46,50,4,30,82,0,6,54,0,82,10,86,0,34,13,3,3,24,75,80,65,92,66,13,5,1,0,0,0,68,20
2021-06-20,75,57,95,92,9,22,0,28,17,0,1,67,55,9,66,32,1,79,65,39,77,58,75,33,0,53,22,84,100,92,58,60,65,66,58,21,75,0,68,0,50,2,0,18,26,9,79,65,8,18,0,70,66,17,76,23,46,74,56,67,24,0,43,58,73,97,69,28,36,43,43,13,19,83,0,5,64,0,89,5,81,0,28,4,6,9,6,81,68,66,89,100,16,5,1,32,14,0,62,44
2021-06-27,83,40,91,87,12,12,0,50,14,0,1,61,18,27,66,41,1,89,53,39,65,39,85,31,1,73,19,83,100,92,57,100,65,68,13,22,86,0,75,0,59,3,0,18,38,9,60,63,25,17,0,71,32,20,65,27,39,76,46,68,35,0,64,57,71,88,66,28,40,58,44,9,26,81,0,9,74,1,83,21,96,0,35,9,4,3,19,80,56,65,81,77,22,5,1,0,7,0,59,40
2021-07-04,75,55,88,90,10,17,0,32,17,16,1,93,46,19,69,29,2,92,90,41,61,53,81,34,1,21,18,90,76,93,34,91,59,73,51,17,100,0,71,0,47,2,0,17,41,28,73,58,45,18,0,71,33,22,63,100,48,67,44,73,34,1,58,59,66,94,73,31,38,38,44,3,35,85,16,7,60,0,85,27,90,0,35,9,3,3,25,80,88,65,91,71,19,3,1,32,4,1,55,18
2021-07-11,70,52,91,91,11,22,0,33,16,8,1,97,55,9,68,100,1,84,100,38,61,57,58,35,3,53,21,90,75,97,58,87,68,86,39,19,97,0,80,0,41,3,0,20,40,16,70,64,8,21,0,62,16,19,74,95,45,68,41,66,44,1,43,70,72,96,68,31,40,39,41,3,46,84,16,9,70,0,81,37,86,0,40,9,6,15,25,85,68,66,94,80,38,5,1,96,7,0,54,38
2021-07-18,72,60,93,90,13,24,0,33,11,100,1,98,37,5,70,93,1,97,81,36,48,57,100,31,76,22,23,84,53,98,78,82,56,87,13,20,89,0,84,0,42,4,0,22,47,26,91,56,7,16,0,77,100,20,80,82,42,93,37,59,55,1,59,85,65,100,77,30,38,45,50,1,43,85,0,9,59,0,84,48,90,0,34,5,5,9,45,87,87,66,92,82,43,7,1,65,4,0,45,33
2021-07-25,68,66,89,93,10,22,0,37,21,49,1,85,54,9,67,70,1,93,70,34,36,47,86,30,100,21,20,90,46,96,38,85,54,76,13,21,80,0,80,0,37,58,0,15,49,30,75,53,6,21,0,70,16,18,94,71,49,73,28,53,63,0,100,88,71,85,61,24,42,40,34,9,27,81,0,8,57,0,85,53,88,0,40,9,5,0,25,82,53,67,98,100,63,4,1,0,3,0,49,38
2021-08-01,59,50,95,93,100,24,43,26,9,33,1,98,65,24,69,71,1,94,61,31,75,54,70,26,77,43,100,91,49,95,87,85,54,72,45,23,68,0,73,0,34,100,0,23,43,30,72,46,7,19,0,72,49,15,100,63,56,100,28,60,40,1,95,91,68,95,65,36,41,42,44,1,58,83,0,6,74,0,85,61,84,0,34,18,4,12,25,82,52,69,100,67,74,5,1,0,11,0,46,30
2021-08-08,49,41,92,90,45,26,100,47,14,8,1,86,65,5,67,60,1,99,45,35,48,63,64,26,59,32,98,100,37,100,68,80,56,70,32,22,57,0,83,0,31,69,0,19,37,42,81,50,16,15,0,72,0,25,91,56,54,88,24,59,73,0,22,96,63,94,67,29,46,35,46,3,66,83,0,12,70,0,83,44,84,0,28,13,5,9,19,81,86,66,94,56,91,4,2,64,7,0,40,62
2021-08-15,50,56,91,93,39,41,71,51,19,16,1,88,63,5,79,55,4,100,41,32,65,57,46,27,53,84,62,100,33,97,91,85,56,66,51,19,52,0,66,0,31,46,0,21,42,66,77,46,33,18,0,79,16,40,97,56,49,75,22,52,57,0,64,95,66,86,50,29,42,32,37,1,46,93,0,10,55,0,88,60,83,0,40,13,1,12,31,77,62,70,88,60,96,4,5,63,28,0,44,20
2021-08-22,46,47,82,92,24,36,75,100,22,69,1,89,77,20,79,64,0,90,32,44,86,57,91,28,60,55,58,93,26,99,96,83,58,60,34,26,52,0,65,0,22,39,0,78,73,90,69,39,57,22,0,87,34,41,93,56,50,90,28,59,55,0,68,100,65,95,75,29,41,41,43,17,36,93,17,22,81,2,88,100,80,0,38,0,2,39,46,79,81,73,90,66,97,3,6,33,100,0,37,40
2021-08-29,39,59,83,90,27,37,49,60,23,8,1,83,57,10,74,53,53,84,34,62,65,56,59,31,60,54,58,93,28,96,89,70,56,56,40,100,41,0,77,0,20,46,0,100,88,79,75,41,100,22,0,87,34,49,90,31,46,92,21,58,80,63,60,91,74,96,68,89,87,73,40,6,71,88,0,31,79,2,85,64,80,0,39,14,1,25,39,100,73,68,93,99,84,4,12,33,73,95,31,48
2021-09-05,39,64,84,92,26,84,53,50,23,44,1,100,59,20,73,47,100,81,34,88,40,59,81,28,62,34,53,88,26,96,88,71,61,54,35,43,41,0,69,0,20,47,0,71,100,100,83,31,20,69,0,100,35,55,91,37,55,79,18,63,73,100,78,87,79,90,51,100,100,77,47,9,33,92,0,75,77,2,91,70,77,0,36,10,6,13,41,96,92,69,86,64,96,3,24,0,42,100,30,57
2021-09-12,32,70,82,96,21,100,67,51,37,9,1,84,19,10,70,67,71,79,35,98,53,49,67,48,71,45,48,86,22,97,81,63,62,51,54,29,34,0,91,0,18,41,0,49,98,78,100,27,20,96,0,93,0,61,77,44,50,82,20,65,53,68,38,88,81,85,80,67,75,83,58,54,32,96,34,100,75,0,97,70,78,0,34,9,4,10,40,83,72,69,88,81,91,23,59,67,45,59,32,53
2021-09-19,31,73,81,91,24,55,66,68,33,26,1,86,77,15,73,58,65,75,21,98,100,100,36,34,66,100,51,84,17,94,81,57,60,53,20,33,30,0,81,0,20,48,0,55,80,76,67,29,12,84,0,99,0,67,98,42,54,81,16,69,80,38,99,85,99,84,65,58,65,70,100,100,49,93,68,60,79,5,100,49,76,0,31,5,4,23,53,82,84,66,82,66,88,93,78,0,45,29,30,74
2021-09-26,31,81,85,92,17,52,51,48,31,25,1,88,66,10,71,70,58,83,26,100,63,66,48,28,57,33,47,90,15,93,100,56,67,50,27,31,31,0,89,0,19,47,0,39,64,84,58,24,11,76,0,88,0,79,87,43,52,93,14,73,62,34,37,78,87,96,73,56,58,56,78,42,36,95,100,64,74,12,95,64,74,0,36,60,3,13,46,83,59,68,87,72,84,100,100,0,66,12,29,43
2021-10-03,23,61,69,79,18,36,54,56,37,32,5,72,57,18,81,45,41,71,22,84,39,76,54,27,52,41,33,79,11,82,72,44,53,45,15,32,21,0,76,21,16,33,21,31,72,100,54,25,6,93,0,71,38,82,76,43,43,59,12,67,67,38,79,70,82,82,58,48,44,70,49,51,72,73,88,54,100,76,83,55,65,100,49,70,2,12,30,73,69,57,79,88,100,42,90,0,47,16,24,41
2021-10-10,21,76,68,75,15,47,54,49,35,35,100,84,66,13,77,46,39,61,22,69,36,56,84,24,46,84,39,76,9,80,59,42,56,43,56,35,23,0,66,59,14,32,59,36,67,74,54,26,6,92,93,68,24,93,66,26,52,59,11,66,78,38,37,68,77,82,55,45,45,64,56,55,58,68,46,67,71,100,78,50,60,31,100,100,2,16,18,68,43,55,75,76,95,36,85,23,26,7,21,53
2021-10-17,17,87,82,74,22,37,51,39,23,23,80,79,52,13,85,44,30,58,21,60,43,51,65,26,45,52,36,92,11,74,88,38,53,39,100,42,22,0,67,62,12,28,62,34,62,97,48,24,4,79,0,68,58,96,71,29,62,81,10,61,89,19,76,63,81,82,64,36,50,69,48,60,38,67,23,63,78,64,83,47,59,0,92,50,100,13,45,66,88,58,76,77,98,32,85,45,30,8,19,85
2021-10-24,20,74,80,75,17,33,46,31,38,23,44,72,97,26,100,42,21,65,14,74,32,55,41,23,47,37,39,86,11,78,95,40,63,39,95,44,24,0,77,73,12,26,73,36,47,80,51,22,5,100,0,69,12,100,59,22,58,70,8,65,90,31,36,60,65,71,74,37,42,73,54,56,62,67,68,83,72,38,74,23,60,0,80,47,92,7,31,66,72,56,77,80,95,27,74,0,45,9,18,50
2021-10-31,18,66,80,73,16,29,44,48,31,12,31,78,26,23,79,46,25,58,21,62,36,43,91,23,47,38,36,80,14,74,52,39,58,39,55,52,21,0,75,100,11,28,100,34,48,73,52,19,4,100,23,60,12,92,66,22,79,59,7,62,80,24,47,56,69,67,69,42,52,68,50,30,61,66,34,92,79,35,77,35,63,0,68,51,72,4,36,63,30,53,75,71,97,22,70,23,35,6,20,63
2021-11-07,16,100,76,76,18,25,68,30,31,41,27,68,65,63,66,43,24,64,20,53,11,59,66,22,40,53,34,79,12,76,72,37,57,42,69,44,23,0,65,39,14,29,39,36,43,79,48,23,3,95,46,59,70,92,67,22,70,78,7,61,98,17,26,63,76,79,65,52,47,79,55,41,57,69,0,90,93,22,81,42,61,0,64,60,76,48,49,65,59,55,75,77,90,21,63,23,23,7,24,61
2021-11-14,16,77,77,77,14,26,62,37,35,34,34,68,63,23,65,39,26,56,18,51,27,54,60,21,41,37,27,75,12,77,47,39,55,38,49,44,17,100,81,22,14,26,22,34,38,72,52,20,3,86,44,61,57,92,70,16,65,56,7,59,100,15,35,58,87,72,52,94,46,80,55,35,56,67,56,69,74,18,80,32,62,0,49,53,54,26,35,66,71,53,71,66,87,22,58,0,37,4,25,67
2021-11-21,15,64,75,76,15,35,46,38,42,51,33,72,57,6,68,44,22,64,18,44,27,74,36,25,32,58,30,79,5,72,50,30,57,60,62,38,20,0,62,16,14,24,16,45,48,86,50,20,3,83,0,57,11,89,62,11,63,52,7,60,85,11,30,52,71,77,38,92,40,71,68,38,34,60,11,83,81,18,71,30,53,0,56,58,40,66,100,63,98,54,72,71,79,24,50,22,15,4,28,71
2021-11-28,14,75,68,80,18,27,56,45,31,28,28,58,38,26,65,42,21,53,17,43,29,56,28,25,33,58,27,76,6,72,73,28,82,52,44,30,17,50,68,14,13,22,14,39,29,86,54,22,3,82,44,69,22,88,77,12,79,57,7,53,95,13,40,55,73,76,60,42,44,73,65,30,55,65,55,59,84,20,79,21,60,0,48,31,38,100,48,81,70,52,70,85,72,22,47,22,36,6,23,46
2021-12-05,19,67,64,77,13,33,49,41,44,12,24,59,32,17,61,34,19,51,14,39,13,49,20,20,31,45,30,72,6,73,55,23,86,43,32,30,14,0,69,16,10,21,16,28,25,51,60,22,3,72,0,60,23,85,64,9,56,45,8,56,67,9,41,55,73,70,62,39,39,84,73,30,95,65,34,47,78,14,81,14,62,0,35,73,35,13,40,74,68,52,72,88,68,22,48,45,20,10,21,52
2021-12-12,15,79,64,77,16,23,53,39,42,30,23,77,40,21,60,41,20,52,16,41,19,47,25,19,30,39,20,73,5,73,63,25,85,45,47,36,14,0,70,15,10,22,15,31,34,66,53,21,4,83,70,63,12,79,63,15,55,51,6,58,100,10,48,53,58,77,57,37,34,82,69,31,76,65,0,47,98,12,76,22,60,0,46,33,46,14,42,69,71,54,72,86,62,22,45,47,21,5,23,49
2021-12-19,12,52,66,71,14,25,50,38,34,39,22,79,22,33,67,45,17,63,12,40,10,59,23,19,33,50,26,70,5,72,83,24,74,47,76,28,13,0,60,37,9,17,37,33,26,29,63,20,3,71,76,48,26,83,60,13,63,50,7,52,87,7,28,44,57,85,73,30,46,81,68,37,100,64,13,41,50,12,67,17,60,0,41,46,36,24,50,69,49,55,78,52,72,19,46,100,22,1,23,28
2021-12-26,15,54,72,72,15,27,51,34,48,26,23,65,100,18,79,39,16,57,15,35,12,53,18,19,31,58,29,75,7,92,90,26,62,43,40,31,16,56,56,51,12,18,51,30,34,47,80,25,3,75,100,49,13,89,65,12,60,57,8,71,91,14,0,49,53,92,54,26,39,100,67,25,63,67,0,40,53,10,70,12,78,0,47,28,31,34,89,69,67,58,74,52,72,21,45,74,14,3,23,30
