date,Last Friday Night T G I F ,Party Rock Anthem,Moves Like Jagger,Super Bass,Lighters,How To Love,Give Me Everything,Pumped Up Kicks,I Wanna Go,Good Life,Tonight Tonight,Rolling In The Deep,Headlines,The Edge Of Glory,If I Die Young,I'm On One,Remind Me,Best Thing I Never Had,Stereo Hearts,Dirt Road Anthem,Knee Deep,Motivation,You Make Me Feel   ,Just A Kiss,Cheers Drink To That,Barefoot Blue Jean Night,Country Girl Shake It For Me,Where Them Girls At,Just Can't Get Enough,Rain Over Me,She Ain't You,E T ,You And Tequila,The Lazy Song,Every Teardrop Is A Waterfall,Otis,On The Floor,Honey Bee,It Girl,Marvins Room,The Show Goes On,Am I The Only One,Out Of My Head,Who Gon Stop Me,God Gave Me You,I'm Into You,Take A Back Road,Till The World Ends,Sure Thing,My Last,Someone Like You,Take Over Control,Mr  Saxobeat,Made In America,Love You Like A Love Song,Marvin & Chardonnay,Don't Wanna Go Home,Keep Your Head Up,I Love You This Big,Long Hot Summer,Love Done Gone,Better With The Lights Off,Pretty Girls,Hello,Just Fishin',Titanium,Baggage Claim,What You Want,Quickie,In The Dark,Here For A Good Time,Never Gonna Leave This Bed,Smile,Country Must Be Country Wide,Ni**as in Paris,Easy,Man Down,We Don't Get Down Like Y'all,Drunk On You,The Adventures Of Rain Dance Maggie,California King Bed,Skyscraper,Gucci Gucci,Sparks Fly,"Save Me, San Francisco",Don't Stop The Party,Faster,On My Level,Nothing,Till I'm Gone,Unusual,Walk,Booty Wurk One Cheek At A Time,Fish,One More Drinkin' Song,You And I,Mrs  Right,No Sleep,Rumour Has It,Old Alabama,Crazy Girl,Look At Me Now,Don't You Wanna Stay,Homeboy,Best Love Song,Right There,If Heaven Wasn't So Far Away,Under And Over It,Lights,Ships In The Night,Set Fire To The Rain,John,Far Away,Oh My,Tomorrow,Mean,Who Says,Dirty Dancer,Novacane,I Smile,F**kin' Perfect,F**k You Forget You,Up All Night,Outlaw,Racks,Ballin',The Story Of Us,Hustle Hard,Blow,Firework,For The First Time,You Lie,What If,Watch Me,Country Song,Run The World Girls,Roll Up,S&M,Iridescent,Without You,Work Out,I Wouldn't Be A Man,Stitch By Stitch,Taboo,Donald Trump,Inventing Shadows,Man In The Mirror,I Won't Back Down,Written In The Stars,Little Bad Girl,Beautiful,Afraid To Sleep,Heartless,Shake Senora,Losing My Religion,Moving To Mars,Backseat,Major Minus,High,Fix You,Down On Me,Born This Way,Dog Days Are Over,Best Friend's Brother,Heart Like Mine,The Man Who Can't Be Moved,Next To You,So In Love,Price Tag,All Of The Lights,Just The Way You Are,Angel,Today Is Your Day,Jolene,I Need A Doctor,Black Horse And The Cherry Tree,The Cave,See No More,Monster,I Won't Let Go,Pause,Bleed Red,Somewhere Else,Judas,Bow Chicka Wow Wow,Bang Bang Bang,Not Over You,You,Did It On'em,Teenage Daughters,Grenade,International Love,Like My Mother Does,Colder Weather,1+1,Danza Kuduro,Cat Daddy,Sing,It Feels So Good,Light Up The World,Pretending,For Good,Rise Above 1,What The Hell,Marry The Night,"I Love New York / New York, New York",Live A Little,As Long As You're There,I Do,Rope,Hair,Moment 4 Life,A Little Bit Stronger,Pure Imagination,I Can't Love You Back,Back To Black,9 Piece,Boyfriend,My Man,Look It Up,Bring It Back,Jack Sparrow,Love Faces
2011-05-11,0,47,0,59,7,27,42,10,7,62,64,100,23,66,25,2,30,0,0,30,22,94,29,36,0,14,35,26,62,1,62,73,9,75,0,13,59,69,58,0,68,53,29,0,10,64,23,55,63,91,23,42,43,29,2,0,10,39,0,11,9,32,45,73,21,74,27,68,21,55,0,73,73,6,0,92,9,0,14,0,79,5,68,15,0,18,75,60,66,6,82,79,0,79,13,42,2,54,46,27,46,79,50,45,42,43,51,8,72,10,44,84,48,72,21,94,57,14,20,70,61,76,4,53,76,67,15,76,65,11,81,68,93,30,89,16,81,64,11,75,88,42,5,69,15,0,34,7,73,1,78,4,21,15,19,0,57,0,89,42,76,39,25,3,74,43,19,81,70,67,67,87,8,47,68,43,81,3,78,54,96,68,49,35,74,67,40,81,47,56,70,20,0,64,64,40,69,86,36,19,10,94,3,76,2,0,59,0,91,72,81,45,80,7,64,2,52,64,73,75,62,63,59
2011-05-12,0,47,0,52,6,28,43,9,8,55,70,87,19,41,27,2,33,0,0,33,33,91,29,45,2,24,31,37,67,0,51,68,12,68,0,16,60,62,53,0,75,30,37,0,11,63,31,55,68,84,25,55,44,29,1,0,9,47,0,17,6,41,50,74,21,76,6,57,22,60,15,62,78,7,0,86,10,0,17,0,63,7,68,15,26,15,67,48,100,28,80,75,0,77,0,44,5,60,40,57,37,79,65,72,35,44,26,4,68,7,41,84,49,74,26,93,56,15,31,70,31,0,4,59,71,47,15,72,74,12,79,74,92,28,78,18,76,61,12,76,80,21,0,67,16,0,36,7,67,1,81,0,23,8,20,0,67,0,90,46,80,38,23,2,87,32,26,63,70,70,74,85,8,48,64,22,72,1,79,78,91,59,43,34,66,72,33,83,48,14,72,26,0,40,61,47,64,92,29,11,10,94,0,80,1,0,52,9,89,73,84,50,62,11,50,1,36,63,80,72,64,60,75
2011-05-13,0,56,0,63,7,27,45,11,9,63,82,85,45,31,28,69,29,0,0,34,26,86,25,40,2,20,32,29,79,0,49,66,12,77,0,13,69,71,62,0,69,50,47,0,11,57,22,60,65,86,23,45,57,37,1,0,13,30,0,4,9,38,45,80,16,68,12,55,19,58,4,63,74,14,0,84,10,0,26,0,60,6,70,12,0,29,75,65,78,20,73,80,0,78,0,43,3,62,27,57,44,82,42,72,31,47,75,2,70,0,47,86,47,70,25,85,57,30,29,60,16,0,5,60,79,54,13,66,76,13,74,77,88,33,81,22,89,67,7,75,77,44,4,78,15,0,40,11,75,2,82,0,22,8,18,1,79,0,90,45,84,40,32,2,57,33,13,82,76,74,80,89,16,65,73,15,76,2,80,61,92,70,60,35,64,93,27,85,0,65,81,32,0,71,61,46,86,87,93,8,15,88,0,85,2,20,58,0,87,77,85,57,72,22,63,3,48,62,70,52,84,66,85
2011-05-14,0,65,0,58,5,31,62,11,9,64,81,93,17,35,29,77,38,0,0,44,25,79,30,47,1,16,26,43,90,0,58,67,19,100,0,11,86,61,67,0,88,65,30,0,15,76,15,75,71,86,29,63,69,26,1,0,19,52,0,11,15,48,61,92,4,73,10,57,21,68,0,79,75,16,0,82,10,0,25,0,64,5,72,12,32,40,92,66,77,18,75,96,0,83,0,47,10,61,45,50,48,94,59,54,39,36,66,3,80,0,49,83,51,92,25,78,79,34,30,69,58,0,4,64,85,53,17,73,83,16,77,92,86,43,85,27,90,74,11,86,70,27,3,85,14,0,44,18,95,1,90,0,29,10,24,0,80,0,80,43,93,50,21,0,87,39,19,75,100,87,82,93,11,62,100,27,98,1,95,93,72,82,58,40,78,89,38,95,0,66,96,31,0,79,68,61,99,96,100,10,24,90,0,93,2,0,61,0,90,79,94,67,65,11,82,3,59,72,91,69,78,65,77
2011-05-15,0,56,0,53,7,32,61,11,10,69,73,78,18,26,27,69,37,0,0,41,27,95,28,61,0,17,46,40,88,0,53,68,8,83,0,11,77,57,69,0,67,42,49,0,20,71,11,68,65,100,31,63,68,31,2,0,11,35,0,11,29,53,63,87,18,76,19,61,14,67,0,100,77,8,0,96,9,0,17,0,62,4,75,7,0,32,90,55,87,10,79,96,0,89,0,49,11,76,49,54,46,91,62,53,39,46,40,3,83,0,54,87,49,86,27,89,82,24,25,87,47,0,5,53,84,57,16,58,79,14,100,86,94,41,84,17,97,72,10,95,83,13,4,82,12,0,40,18,88,3,90,0,27,29,31,0,83,2,79,54,91,44,23,2,99,53,16,90,94,76,82,98,9,55,91,36,86,9,91,80,74,77,61,35,60,85,55,99,0,64,95,22,0,79,74,62,79,91,71,5,24,97,0,85,3,0,100,0,99,85,84,56,95,7,74,2,56,76,81,100,59,80,75
2011-05-16,0,44,0,45,6,29,45,11,9,62,58,60,23,25,23,63,27,0,0,26,23,95,24,50,5,21,34,23,62,0,51,64,14,70,0,12,57,66,54,0,61,48,39,0,13,52,16,49,63,77,24,54,46,34,1,0,12,37,0,11,20,38,44,74,15,71,10,54,23,60,4,58,77,6,0,94,8,0,16,0,54,4,67,7,25,29,76,48,68,11,86,78,0,77,0,42,1,62,38,42,43,72,38,65,35,43,69,8,73,10,42,89,42,66,25,91,56,20,27,69,7,0,6,51,73,49,13,55,64,10,84,71,95,32,63,16,76,54,8,78,82,41,1,65,28,0,23,10,74,1,78,0,19,8,19,0,57,0,90,44,70,34,23,3,83,30,17,65,62,61,65,86,7,39,70,14,79,11,81,69,90,39,55,25,77,70,33,80,46,51,77,30,0,54,64,45,58,86,52,6,24,88,0,76,2,0,54,0,92,74,89,34,66,6,58,2,37,62,83,72,64,59,74
2011-05-17,0,43,0,45,6,28,45,13,9,63,62,70,21,21,28,69,32,0,0,35,31,97,23,49,1,26,38,27,67,0,47,69,20,66,0,12,56,65,57,0,68,38,38,0,15,56,21,49,69,83,26,51,46,35,1,0,8,33,0,5,9,49,43,73,29,71,8,50,23,60,7,46,78,6,0,95,9,0,16,0,54,5,65,12,25,47,75,41,65,15,87,75,0,77,13,44,2,54,35,26,45,70,28,87,35,44,25,2,72,7,44,85,39,68,26,91,59,18,34,74,38,0,7,61,77,64,16,58,72,12,75,72,93,31,72,14,77,55,16,84,90,31,2,66,22,0,31,14,77,2,83,0,22,8,22,0,68,0,89,43,82,48,18,8,93,42,17,63,71,59,67,89,4,39,67,28,74,8,80,57,84,58,28,25,61,67,30,82,0,60,68,25,0,55,59,52,69,88,48,11,21,97,0,72,100,19,65,0,91,74,94,40,67,15,88,2,46,61,75,67,60,52,79
2011-05-18,0,45,0,45,7,29,50,13,8,69,69,66,23,19,25,67,31,0,0,30,28,95,29,43,2,29,32,25,61,0,56,72,21,62,0,12,58,61,54,0,65,36,36,0,18,72,27,51,72,88,26,48,39,37,2,0,11,46,0,13,14,41,44,74,24,75,6,61,18,58,7,52,77,19,0,90,9,0,8,0,58,6,68,18,25,35,72,59,68,20,64,75,0,77,0,44,5,54,35,50,44,72,49,77,32,39,45,2,68,10,43,83,41,67,21,93,62,15,24,69,76,0,5,53,73,80,15,55,74,12,71,79,92,28,76,21,82,51,14,71,84,0,5,66,11,0,33,21,77,1,78,15,20,5,17,1,69,0,91,42,76,84,22,5,79,42,17,87,65,64,63,89,6,44,66,28,66,4,81,76,80,66,70,25,56,69,45,81,47,65,67,29,0,84,63,48,67,88,34,12,23,92,3,72,42,0,83,18,90,76,88,50,58,100,73,5,45,57,79,72,63,52,70
2011-05-19,0,48,0,47,6,27,47,13,9,64,70,66,24,20,100,63,38,0,0,34,46,94,25,38,3,23,29,27,59,0,55,65,18,68,0,14,59,57,60,0,70,50,56,0,18,49,26,58,84,86,24,61,44,45,2,0,11,33,0,11,15,35,49,74,27,74,8,54,20,54,4,56,74,19,0,89,9,0,11,0,58,4,72,11,0,31,77,56,77,21,83,75,0,75,0,44,5,51,68,32,43,72,50,61,31,39,19,2,70,10,48,80,38,67,24,92,63,19,21,70,46,0,4,59,80,64,12,63,69,12,84,72,90,29,87,100,82,50,12,76,91,74,4,67,10,0,32,7,68,0,81,7,25,8,20,0,61,0,88,47,84,62,16,3,92,39,20,89,65,58,68,85,6,43,66,36,66,5,77,61,79,77,92,24,55,73,36,81,0,71,70,26,0,66,60,49,75,94,31,14,23,89,0,70,26,19,63,9,89,77,88,43,60,89,60,5,40,58,83,64,70,59,67
2011-05-20,0,57,0,48,4,27,53,11,9,59,83,67,25,20,59,61,33,0,0,35,33,83,30,35,2,20,30,28,68,0,65,61,24,75,0,12,63,64,56,0,73,50,34,0,14,56,22,68,69,92,24,56,45,34,6,0,23,35,0,4,18,29,61,78,13,71,15,62,18,60,0,92,84,48,0,82,9,0,12,0,64,4,69,10,27,48,86,50,72,9,75,78,84,79,0,44,5,51,49,34,46,77,49,77,37,55,7,0,71,4,51,84,44,73,80,83,69,18,31,65,33,0,6,62,82,83,16,53,69,12,70,77,88,32,83,90,73,57,11,71,74,22,5,77,10,0,33,23,75,1,82,4,24,22,24,0,70,0,91,43,72,56,21,3,100,21,16,69,69,60,69,86,3,49,62,23,88,5,81,62,82,62,71,27,67,100,41,84,0,45,72,32,0,59,61,57,68,91,53,9,16,86,0,78,20,20,74,0,87,73,89,54,73,43,32,3,40,58,100,64,57,72,75
2011-05-21,0,74,0,52,5,33,69,16,11,57,90,75,22,23,50,67,37,0,0,37,37,68,27,38,4,24,29,37,72,0,48,63,18,94,0,10,82,55,63,0,85,61,42,0,20,70,21,100,67,81,29,75,82,18,12,0,12,45,0,7,15,35,70,90,35,63,13,54,20,71,5,80,100,8,0,78,11,0,32,0,83,6,73,10,0,42,80,49,79,18,77,87,0,83,0,44,4,61,32,52,41,81,69,84,40,56,25,5,77,4,42,79,43,91,100,76,84,29,34,86,59,0,6,55,100,78,27,65,83,15,84,95,88,41,87,83,86,64,17,85,73,13,7,87,9,0,28,28,80,1,93,5,24,10,29,0,74,0,79,54,100,72,22,16,51,40,24,83,93,71,85,97,8,48,82,28,77,5,88,80,70,44,50,32,63,97,41,98,0,55,84,27,1,74,72,71,92,96,44,16,23,83,0,95,21,0,52,0,87,80,89,68,47,42,26,5,37,66,91,58,100,97,66
2011-05-22,0,64,0,57,6,32,68,10,9,71,81,77,23,26,42,67,45,0,1,36,32,81,35,41,1,19,38,40,70,0,59,63,24,89,0,9,74,59,70,0,66,32,34,0,15,68,15,74,70,79,31,51,65,24,10,0,25,49,0,0,7,42,56,85,19,73,17,73,30,68,5,87,94,16,0,90,12,0,31,0,80,4,81,18,0,43,90,49,87,7,76,86,0,86,0,48,0,56,58,100,43,75,63,66,45,56,49,0,76,4,57,83,50,88,27,86,78,15,42,77,48,0,5,50,91,94,23,50,81,15,90,100,90,44,82,64,91,72,16,77,78,26,5,88,9,0,33,18,82,1,90,5,23,19,18,0,88,0,79,52,87,73,31,42,71,58,23,100,81,72,71,95,8,49,74,45,89,4,89,75,73,71,48,31,57,88,35,93,0,94,82,29,0,78,77,69,79,94,38,16,21,93,0,92,14,0,78,0,95,77,85,53,71,41,50,4,51,73,94,78,63,100,84
2011-05-23,0,44,0,49,8,29,55,12,7,67,64,62,24,22,43,61,32,0,1,40,39,96,28,66,2,20,47,25,66,0,57,74,28,67,0,13,56,65,56,0,63,51,45,0,19,68,18,61,64,79,24,52,43,20,6,0,25,58,0,39,23,35,45,73,12,74,10,51,29,62,0,65,87,6,0,93,9,0,8,0,69,5,69,10,25,44,74,43,71,10,74,73,0,80,0,45,2,57,39,57,44,63,53,76,40,47,32,0,70,7,41,89,40,63,21,89,55,18,40,66,38,0,5,51,96,56,18,62,68,12,80,75,91,30,77,81,75,77,11,79,88,21,1,74,12,0,34,21,72,0,78,4,24,13,20,0,68,0,92,43,70,100,16,20,68,23,18,61,64,49,61,93,15,38,59,28,74,7,79,81,79,84,56,24,51,72,44,81,0,33,71,30,0,43,62,52,71,84,30,9,23,91,0,67,26,0,69,18,93,78,84,50,55,21,54,3,42,66,74,56,55,66,68
