date,WAP,Laugh Now Cry Later,Rockstar,Blinding Lights,Whats Poppin,7 Summers,Watermelon Sugar,Roses,Savage Love (Laxed   Siren Beat),I Hope,Go Crazy,Before You Go,Break My Heart,Midnight Sky,Adore You,Circles,For The Night,Come & Go,Mood Swings,Savage,Popstar,Rags2Riches,Death Bed,Blueberry Faygo,Die From A Broken Heart,Mood,Don't Start Now,The Woo,The Bones,One Margarita,Life Is Good,Wishing Well,Cardigan,Be Like That,Smile,Chasin' You,Intentions,We Paid,Cool Again,Party Girl,Tap In,Girls In The Hood,Say So,Rain On Me,Emotionally Scarred,Got What I Got,The Box,If The World Was Ending,Nobody's Love,Why We Drink,The Bigger Picture,One Of Them Girls,Lovin' On You,My Future,I Love My Country,Like That,Be A Light,Kacey Talk,Said Sum,Greece,Heather,More Than My Hometown,Done,Bluebird,I Should Probably Go To Bed,Lemonade,The 1,Un Dia (One Day),Bang,God Whispered Your Name,24,Toosie Slide,Breaking Me,One Beer,Girl Of My Dreams,Kings & Queens,Pretty Heart,I Called Mama,Dollaz On My Head,One Night Standards,ily,Exile,Martin & Gina,Happy Anywhere,Got It On Me,Some Girls,Mamacita,After Party,3 Headed Goat,Stuck With U,Conversations,Caramelo,Hate The Other Side,La Jeepeta,Bitch From da Souf,Righteous,Past Life,Something Special,21,Lonely If You Are,Hard To Forget,Supalonely,Letter From Houston,One Big Country Song,My Ex's Best Friend,Don't Rush,Freestyle,Need It,Life's A Mess,Move Ya Hips,Be Kind,Falling,Walk Em Down,The Last Great American Dynasty,My Tears Ricochet,August,Invisible String,Betty,No Dribble,Mirrorball,Blood On My Jeans,Lion King On Ice,Seven,This Is Me Trying,Illicit Affairs,Mad Woman,The Climb Back,Epiphany,Peace,Hoax,Go,Perfect,Sunday Best,Titanic,Stay High,Bad Energy,The Scotts,Tell Me U Luv Me,Up Up And Away,Fighting Demons,B S ,Does To Me,Man Of The Year,Can't Die,Chicago Freestyle,Flex,Screw Juice,Enjoy Yourself,The Adventures Of Moon Man & Slim Shady,I Want It,Gangstas,Let It Go,My Affection,Aim For The Moon,Beer Can't Fix,Here And Now,44 Bulldog,Gooba,Dior,High Fashion,Yea Yea,Make It Rain,What You Know Bout Love,Snitchin,Bad Bitch From Tokyo (),Creature,West Coast Shit,Pussy Fairy,Wash Us In The Blood,Diana,Tunnel Vision (Outro),Trollz,After A Few,How You Like That,Yo Perreo Sola,In Between,YaYa,Memories,Nobody But You,Hot Girl Bummer,Black Parade,Know My Rights,Daisies,Grace,Believe It,In Your Eyes,Do It,Stick That In Your Country Song,My Truck,X,Shotta Flow 5,I Hope You're Happy Now,Everything I Wanted,Snow On Tha Bluff,Bleed,Tommy Lee,Level Of Concern,One Shot,Need Me,All In,July,Heartless,Ride It ,Otherside Of America,Drinking Alone,Deep End Freestyle,The Man Who Loves You The Most,My Oh My,Dance Monkey,Out West,Sour Candy,Turks,Cooler Than A Bitch,That Way,Hard Days,Catch,Trillionaire,Worldwide Beautiful,Stupid Love,TKN,Godzilla,T D,Alice,Hasta Que Dios Diga,Lose Somebody,Sigues Con El,Solitaires,RITMO (Bad Boys For Life),Sum 2 Prove,Top Floor,Wunna,Blindfold,SkyBox,Argentina,Met Gala,Daechwita,Nasty Girl / On Camera,MOTW,Gimmick,Go Stupid,Be Something,Feigning
2020-05-13,12,1,22,71,36,0,11,62,0,88,39,55,77,1,73,81,79,11,31,78,12,0,83,76,41,75,63,47,83,13,85,19,22,92,85,53,67,44,40,78,52,0,68,1,54,84,97,70,3,56,5,53,10,10,61,32,87,0,8,49,48,28,89,86,0,53,84,0,68,45,56,36,45,58,54,27,72,20,0,5,52,27,0,0,26,76,27,74,35,19,71,44,0,9,20,73,20,32,30,50,40,85,2,28,0,67,55,98,0,0,65,84,64,0,0,6,2,26,4,0,0,0,69,2,0,7,0,24,71,56,77,91,34,32,42,26,55,0,52,6,74,94,56,23,19,86,3,38,0,90,24,76,20,0,34,54,2,53,58,84,81,28,8,46,0,77,0,43,0,33,0,0,86,4,65,95,31,85,66,57,5,13,23,49,91,63,97,0,86,58,0,17,65,0,89,36,42,73,89,97,2,71,80,0,64,35,29,77,70,28,3,50,0,94,54,90,7,2,39,2,73,91,69,0,4,76,16,0,54,42,4,50,84,80,12,0,0,30,61,63,83,43
2020-05-14,12,1,31,70,28,0,10,62,0,77,40,57,69,1,93,76,87,0,27,75,11,2,89,70,24,72,55,45,90,20,84,21,19,98,85,30,68,30,10,76,55,1,59,1,48,92,90,62,0,62,2,10,15,9,51,33,83,0,6,49,49,25,90,92,0,53,86,2,73,76,53,32,49,65,57,39,48,5,0,19,60,27,0,1,34,68,24,76,24,18,73,41,0,18,6,68,20,35,38,80,48,89,0,21,0,31,58,100,0,0,65,85,66,0,0,5,1,25,4,0,0,0,69,2,0,4,1,23,71,47,74,88,43,33,63,25,52,0,63,8,68,89,38,28,14,85,0,40,0,94,10,76,20,0,17,50,0,50,58,83,82,21,16,34,0,75,0,51,0,32,0,0,80,4,79,93,26,82,61,70,3,13,31,44,93,67,95,0,75,58,0,0,61,0,86,37,44,72,90,93,2,74,72,0,42,48,18,97,65,32,3,51,0,93,34,85,97,5,38,3,71,93,67,0,26,76,19,0,72,45,3,55,66,82,12,0,0,24,80,71,100,29
2020-05-15,12,1,73,63,30,0,12,62,0,80,42,52,75,1,74,70,84,8,31,78,12,0,87,72,25,71,54,60,86,25,98,18,22,95,81,47,72,37,30,78,50,0,65,2,65,82,91,63,3,58,2,71,15,13,56,33,85,2,11,48,48,51,87,83,0,62,83,2,70,97,53,34,55,86,70,21,46,4,0,15,48,28,100,0,33,85,30,76,14,18,68,43,1,11,20,68,18,32,32,51,41,77,0,7,0,58,57,92,0,0,63,87,86,0,0,5,2,25,0,0,4,0,64,2,0,7,0,26,76,44,77,86,41,35,49,38,54,0,57,5,73,90,40,23,18,87,2,32,0,100,16,85,15,0,35,50,4,46,60,73,82,28,0,12,0,81,0,52,0,33,0,0,84,4,75,85,27,81,85,64,4,19,100,47,87,73,95,0,88,56,0,17,66,0,87,29,46,84,83,89,2,85,77,3,66,47,19,94,75,37,3,54,0,90,41,87,100,1,49,1,68,91,69,0,100,77,100,52,67,43,3,67,71,82,11,0,0,6,61,96,86,27
2020-05-16,14,1,100,84,34,0,12,76,0,74,45,58,75,2,86,77,84,4,24,89,13,5,92,89,32,72,82,57,79,21,95,21,24,56,81,43,72,36,24,78,54,0,63,4,60,81,96,64,3,60,1,8,11,10,42,32,65,0,5,51,47,37,85,100,0,77,79,2,75,77,55,34,53,78,54,29,57,9,0,22,61,32,28,0,22,75,33,70,18,20,69,53,1,19,15,78,19,35,29,35,55,91,1,32,0,55,64,80,0,1,54,95,83,0,0,5,1,28,0,1,1,0,66,2,0,6,1,24,77,56,81,90,54,41,52,30,51,0,44,2,71,92,41,31,21,86,0,21,0,100,27,100,18,0,79,41,0,41,64,92,98,31,0,52,0,85,0,54,0,35,0,0,76,3,81,59,29,85,68,76,3,3,74,49,75,73,86,0,84,61,0,0,80,0,89,69,47,90,87,84,2,100,92,0,55,37,3,96,84,28,4,53,0,62,40,94,65,0,58,2,88,83,61,0,76,89,78,0,79,45,2,78,90,79,10,0,0,14,62,60,69,26
2020-05-17,14,1,85,76,32,0,18,73,33,78,43,63,80,2,87,77,82,4,30,86,14,0,91,70,30,72,70,63,80,33,99,27,24,68,83,49,71,39,26,80,58,1,63,2,65,78,93,69,0,66,2,46,12,10,42,34,73,0,5,54,47,21,89,86,0,73,79,2,78,89,64,35,51,61,66,32,61,7,0,28,66,33,76,0,34,90,32,68,15,18,62,49,0,19,8,80,19,36,27,51,33,88,0,41,0,50,57,81,0,0,51,94,44,0,0,6,1,29,5,1,1,0,69,2,0,14,1,27,77,57,81,96,90,41,45,32,50,0,45,6,63,97,34,26,18,87,2,30,0,98,27,95,19,2,40,44,2,38,66,83,79,31,0,13,0,90,0,100,0,35,0,0,80,3,83,59,32,98,69,68,4,9,63,63,71,78,86,0,88,63,3,39,68,0,94,69,42,85,82,86,2,83,100,0,56,56,6,100,80,29,4,54,4,70,56,96,53,1,53,2,91,92,58,0,69,89,56,39,42,52,2,62,81,81,11,0,0,14,71,100,63,40
2020-05-18,15,1,47,53,33,0,100,60,0,79,35,55,71,1,99,75,74,15,29,75,11,4,77,75,23,77,62,47,81,100,91,17,21,79,85,50,61,38,24,76,59,2,53,3,42,74,87,59,0,59,1,40,20,9,43,32,84,0,13,53,46,21,89,87,0,51,83,2,70,32,62,31,52,59,66,11,55,6,0,10,57,24,33,0,26,87,24,67,22,18,62,41,0,17,33,72,19,40,27,100,39,64,1,42,0,37,53,85,0,1,60,86,69,0,0,6,2,23,0,0,0,0,67,2,0,7,0,26,72,54,78,90,40,32,50,34,55,0,61,5,73,93,35,21,18,92,0,16,0,85,17,85,19,0,35,37,7,36,56,86,78,32,0,34,0,81,0,43,0,31,0,0,81,3,62,87,25,80,49,60,3,16,63,45,81,68,94,0,80,59,0,17,58,0,85,46,41,83,91,90,2,83,81,0,68,49,5,85,67,27,3,45,0,76,49,85,43,1,38,2,66,93,69,0,53,64,37,34,73,49,16,58,72,91,9,0,0,12,64,86,83,38
2020-05-19,12,0,43,59,27,0,97,57,0,79,41,53,73,1,84,73,84,4,26,75,11,0,92,76,26,74,57,58,75,36,95,18,22,79,83,83,60,32,27,83,56,1,52,3,61,76,89,60,0,60,3,33,10,9,60,31,91,0,10,54,48,28,84,83,0,53,82,0,69,63,56,30,52,69,58,27,43,5,0,33,51,25,40,0,28,84,28,66,15,21,67,42,0,19,19,68,20,36,29,49,45,84,0,69,0,50,55,93,0,0,57,86,77,0,0,6,1,24,8,0,2,0,64,3,0,5,1,25,70,50,76,86,39,32,44,38,48,0,66,4,74,90,38,20,20,91,0,23,0,96,16,80,26,1,85,40,3,38,56,68,75,28,16,34,0,80,0,54,0,32,0,0,100,3,85,85,24,78,60,54,3,8,40,50,90,69,94,0,81,56,0,0,64,0,85,36,48,75,89,90,2,78,77,0,73,40,0,82,68,31,3,50,0,92,51,86,30,3,37,2,68,93,70,0,53,86,26,0,51,48,14,61,78,85,8,0,0,18,74,66,81,17
2020-05-20,13,0,37,65,28,0,40,60,14,76,37,54,73,1,89,74,80,11,32,74,12,2,84,85,37,75,54,45,81,29,88,20,19,80,80,49,54,34,21,81,51,1,48,4,74,74,89,64,5,51,1,40,25,10,33,31,91,0,8,55,44,28,86,87,0,60,85,0,70,45,57,31,53,53,52,21,55,3,0,33,52,25,73,1,29,83,27,68,16,18,78,41,0,19,13,67,18,41,37,19,38,70,0,28,0,47,53,90,1,0,61,88,71,0,0,6,1,23,4,1,0,0,62,3,0,5,1,30,74,47,75,88,33,40,44,44,44,0,65,3,77,91,34,25,16,89,3,23,0,93,16,88,17,1,0,45,2,33,56,78,78,25,0,23,0,75,0,35,0,31,0,1,77,3,83,84,23,76,100,64,4,10,47,48,80,64,92,0,79,55,0,17,71,0,83,43,49,81,91,86,2,79,75,0,67,48,0,81,67,34,3,54,0,83,29,89,27,3,44,1,67,90,67,0,40,73,29,34,76,46,16,63,68,89,9,0,0,18,56,73,87,23
2020-05-21,14,0,42,66,31,0,34,64,44,78,53,77,79,1,84,73,85,4,30,82,15,2,83,87,55,78,45,44,86,20,100,21,20,90,85,36,65,37,19,79,59,3,56,8,46,80,91,69,0,64,4,45,21,9,67,33,74,0,7,60,47,30,88,80,0,69,86,2,74,71,56,31,63,74,53,26,43,4,0,25,59,26,0,1,28,72,29,68,16,14,71,47,0,16,0,74,16,30,71,39,49,78,0,15,0,49,60,84,0,0,63,87,91,0,0,6,2,25,4,1,1,0,64,2,0,6,0,25,74,54,77,90,38,37,51,31,40,0,62,2,66,90,52,37,21,89,2,18,0,90,18,91,15,0,0,43,7,29,59,73,87,39,0,48,0,81,0,74,0,32,0,0,85,3,77,88,40,81,77,95,4,14,35,48,92,100,94,0,98,57,0,35,59,0,86,52,49,80,89,90,2,78,74,0,37,45,6,97,69,32,3,50,4,85,47,88,21,1,35,2,68,90,70,0,44,66,26,0,61,54,24,74,78,86,8,0,0,6,74,64,90,55
2020-05-22,13,0,31,71,32,0,26,66,15,76,68,63,76,1,84,74,80,8,28,79,10,0,82,70,33,72,63,44,83,44,91,20,21,69,88,100,67,39,34,79,57,2,52,100,68,75,90,73,5,80,1,21,16,9,58,32,77,0,9,57,47,19,88,85,0,71,79,3,72,76,56,28,59,80,79,26,55,4,100,30,65,27,0,0,33,69,31,71,16,15,62,43,0,21,27,73,17,44,39,46,49,76,1,29,0,49,61,91,0,0,59,90,100,0,0,6,2,26,0,0,1,0,66,2,0,5,1,27,74,50,79,87,43,35,50,30,42,0,51,5,71,97,86,36,18,91,0,18,0,93,22,87,19,0,18,48,9,29,61,78,72,36,0,12,0,80,0,33,0,32,0,0,73,3,74,79,54,78,68,72,5,11,40,46,92,82,92,0,88,59,0,35,66,0,88,48,41,78,87,87,2,84,76,0,44,45,3,89,72,30,5,48,100,81,47,90,20,0,54,2,76,89,69,0,36,84,35,36,42,100,100,100,74,85,10,100,89,87,75,66,79,100
2020-05-23,14,1,40,77,32,0,24,72,16,78,68,67,82,1,92,77,81,4,27,88,14,0,82,93,37,71,44,38,71,56,90,31,24,62,86,79,69,32,21,85,57,2,56,74,63,77,94,73,3,61,2,34,6,9,35,32,65,0,7,54,56,29,83,89,0,76,76,4,77,99,60,40,51,82,92,47,44,4,50,16,55,30,9,0,24,85,36,64,20,13,52,52,0,23,30,68,17,35,28,57,46,87,0,65,0,33,60,80,0,0,51,93,82,0,0,6,1,28,0,0,0,0,76,1,1,5,1,22,74,51,80,91,46,39,54,33,43,0,42,3,68,88,51,38,20,86,0,23,0,95,26,88,17,0,40,48,2,29,65,86,80,25,0,0,0,77,12,59,0,37,0,1,65,2,91,55,40,86,81,73,4,9,42,49,74,77,82,0,75,61,4,39,67,0,87,61,69,84,83,80,2,81,81,0,74,68,3,84,79,33,4,54,44,62,45,92,20,4,52,2,74,92,55,0,27,95,36,20,38,70,47,83,68,79,8,64,32,89,63,92,71,67
2020-05-24,13,1,33,76,29,0,19,74,50,73,53,59,86,0,89,75,79,4,32,83,12,5,93,78,60,72,57,55,75,35,91,18,22,59,82,41,66,27,23,88,64,1,52,44,85,72,94,71,3,69,3,27,18,9,65,31,57,0,12,58,62,30,84,85,0,78,77,0,78,48,97,36,55,88,62,22,34,3,52,28,61,34,39,0,32,57,34,74,16,15,64,52,0,20,23,93,21,50,26,37,73,75,0,41,0,54,62,83,0,1,49,94,60,0,0,6,2,29,0,0,0,0,72,1,0,6,1,28,75,55,83,90,80,49,40,38,50,0,40,6,62,90,49,47,20,88,0,10,0,90,23,82,17,0,82,55,0,27,65,81,83,30,10,14,0,91,12,83,0,38,0,1,77,2,80,53,32,85,82,55,4,3,42,66,77,80,83,0,87,64,0,0,65,0,89,56,46,84,86,85,2,90,100,0,66,100,3,91,77,34,5,64,63,63,43,94,19,1,51,2,89,86,52,0,25,78,37,22,73,73,29,71,100,88,9,37,100,70,66,65,64,31
2020-05-25,13,1,24,66,32,0,18,62,15,73,43,55,73,2,82,67,72,12,25,75,10,5,80,100,37,72,57,40,71,34,86,23,20,68,78,68,53,36,26,89,49,1,45,30,55,72,89,54,0,60,1,28,5,9,51,31,64,0,9,54,53,41,82,80,0,66,70,2,73,95,66,29,57,63,53,34,48,4,79,35,65,27,26,0,26,60,26,67,21,14,58,45,0,23,21,68,18,30,26,79,57,88,0,37,6,59,59,76,0,1,48,85,72,0,0,6,1,25,4,0,2,0,64,3,0,6,0,26,69,50,78,92,37,100,43,25,35,0,42,5,65,82,43,28,19,91,2,20,0,91,17,69,12,0,18,52,2,24,58,80,59,31,0,24,0,79,11,33,0,34,0,1,65,2,72,53,25,78,57,80,3,3,43,47,68,71,80,0,76,61,0,18,55,0,84,55,45,80,83,77,2,77,75,0,37,61,3,82,64,30,4,50,26,63,46,89,13,4,44,4,83,89,71,0,36,66,26,18,50,62,24,82,90,95,8,25,0,100,76,80,65,37
2020-05-26,12,0,23,59,29,0,17,59,14,75,52,61,73,1,75,76,72,4,27,71,11,2,81,84,28,69,43,45,73,24,90,19,22,73,79,42,59,43,19,83,52,0,50,26,58,63,85,69,3,41,4,40,20,10,24,30,73,0,11,54,52,14,78,74,0,57,74,0,70,59,56,29,41,55,80,32,48,3,52,33,67,24,33,0,34,57,27,70,29,15,67,43,1,17,26,66,19,35,25,25,36,80,0,7,0,51,59,82,0,0,57,82,64,0,0,6,1,24,0,0,0,0,63,2,0,4,0,29,68,49,78,84,38,36,54,28,37,0,41,5,78,91,40,25,15,89,0,7,0,80,16,73,12,1,34,43,2,21,57,73,73,26,8,11,0,68,0,39,0,37,0,0,66,3,67,73,24,79,65,66,4,5,37,45,64,68,85,0,82,60,2,0,55,0,88,38,49,75,82,81,2,77,77,0,58,51,0,85,66,36,5,51,50,72,39,83,15,1,39,7,68,92,68,1,29,79,23,0,66,63,20,60,79,85,7,19,0,42,80,88,73,49
2020-05-27,12,0,23,58,32,0,17,59,0,76,50,61,82,1,65,70,85,4,35,74,10,2,89,66,42,71,42,50,75,23,84,17,21,74,81,46,59,46,36,91,53,0,49,20,62,88,86,62,0,59,2,30,26,8,49,30,76,0,9,52,58,29,83,79,0,60,74,3,70,55,54,31,49,64,67,37,49,14,24,34,60,27,0,0,34,72,35,67,9,14,65,37,0,19,20,68,18,22,25,51,38,80,2,28,0,35,60,88,0,0,56,84,79,0,0,6,2,24,0,1,1,0,61,2,0,7,1,30,70,51,78,87,31,32,49,30,34,0,38,3,71,88,44,26,20,93,0,20,0,89,17,74,18,1,17,41,2,21,59,74,74,26,8,46,0,82,0,48,0,33,0,0,78,3,65,74,26,79,64,75,4,8,40,46,76,76,91,0,77,70,1,0,63,0,83,40,45,75,85,85,2,79,67,0,46,57,5,79,63,33,7,47,8,69,41,87,15,4,34,4,68,88,71,0,30,75,27,34,59,60,19,69,70,86,7,15,0,42,89,47,77,70
2020-05-28,12,1,25,58,29,0,14,60,28,79,52,61,78,1,78,73,65,4,26,73,9,0,84,74,49,72,66,38,76,25,99,15,21,71,85,46,58,33,34,80,55,1,50,21,40,72,86,61,3,49,2,37,15,10,40,30,72,0,13,50,58,22,87,88,0,59,74,0,71,59,53,31,53,58,48,23,63,9,28,24,57,27,8,0,38,74,32,65,13,16,66,41,0,25,13,69,17,37,25,44,33,70,1,21,0,35,64,83,0,0,55,87,74,0,0,6,2,24,0,0,3,0,64,3,0,5,0,28,73,50,78,85,35,31,50,37,35,0,54,6,71,89,32,36,18,93,2,20,0,83,16,75,13,1,87,54,5,22,57,83,84,27,0,12,0,85,10,36,0,32,0,1,77,3,75,75,27,76,52,68,4,8,37,48,74,70,85,0,82,60,0,34,58,0,89,45,43,74,80,80,2,71,81,0,74,79,3,89,67,27,100,48,31,79,37,87,10,0,50,94,65,89,71,2,23,69,28,18,92,51,19,76,92,85,6,12,0,30,57,70,82,29
2020-05-29,13,1,24,63,29,0,16,63,15,79,43,58,79,2,73,72,74,0,28,80,13,9,87,89,31,78,43,43,73,21,95,23,18,66,83,68,58,41,27,84,62,1,47,22,59,83,86,63,0,57,1,42,26,9,42,31,79,0,4,53,55,49,85,81,0,66,77,0,78,95,51,29,56,83,69,36,63,7,29,15,69,71,9,0,36,81,29,82,9,11,68,40,0,23,21,70,16,29,25,39,45,75,1,37,0,35,55,83,0,0,56,86,91,0,0,6,2,25,4,0,0,0,63,2,0,9,1,25,78,54,76,83,36,34,45,32,41,100,41,5,73,89,40,43,15,90,4,13,0,96,18,74,14,0,54,49,7,20,59,75,90,30,0,0,0,74,0,74,0,33,0,1,78,3,74,73,25,77,54,66,3,8,34,46,69,74,84,0,80,60,3,35,57,0,92,41,56,71,83,82,2,73,83,0,44,45,3,85,73,37,82,46,28,74,42,87,11,2,51,100,68,87,74,100,70,57,18,36,50,59,17,84,78,81,7,13,0,25,48,64,76,24
2020-05-30,12,1,24,73,30,0,16,72,16,75,55,62,90,2,84,80,77,18,32,83,10,0,87,86,28,80,43,46,77,37,94,21,20,63,79,53,62,35,17,81,59,1,46,19,63,75,90,67,3,32,1,46,18,8,57,31,66,0,7,54,50,50,83,85,0,74,73,0,77,53,51,100,65,68,34,50,50,7,28,39,71,38,19,0,28,84,44,62,23,11,59,52,0,32,23,81,15,32,24,14,49,82,0,81,0,47,62,79,0,0,54,91,57,0,0,6,0,27,5,1,0,0,65,2,0,14,0,22,87,48,78,82,41,43,45,26,39,81,49,9,72,92,32,28,17,87,0,22,0,86,20,85,18,1,80,55,0,20,66,80,78,31,0,53,0,88,0,68,0,37,0,1,85,3,78,55,26,86,64,54,4,12,36,48,79,74,81,0,74,87,1,0,62,0,92,52,53,87,85,78,2,73,99,0,71,30,3,85,82,34,42,53,27,59,60,90,13,2,59,55,76,84,57,85,37,64,22,0,68,49,11,67,81,83,8,11,0,48,61,66,67,34
2020-05-31,13,1,23,64,29,0,16,71,16,74,54,63,88,2,84,78,78,13,30,80,14,0,86,73,46,74,47,41,71,25,88,19,22,61,78,63,65,34,23,81,54,1,44,15,74,75,88,57,3,64,2,16,24,8,46,30,77,0,12,58,53,21,88,77,0,69,76,2,80,69,54,58,75,85,40,32,51,3,37,17,67,35,0,0,18,90,45,68,16,12,55,50,0,23,15,95,19,44,24,15,50,72,0,33,0,46,60,76,0,0,51,90,83,0,0,6,1,30,0,0,1,0,68,2,0,7,0,28,100,62,76,81,82,41,54,33,36,41,37,4,68,84,37,35,14,82,0,25,0,79,23,77,23,0,61,39,0,28,64,71,71,25,0,27,0,86,0,64,0,66,0,1,74,2,74,56,23,86,61,71,4,9,38,55,78,75,79,0,76,71,0,0,57,0,93,56,51,87,80,80,2,79,72,0,64,60,0,91,79,33,32,52,40,55,46,87,11,3,48,37,81,84,52,51,45,63,23,20,68,56,9,74,74,81,7,11,0,49,55,76,65,51
2020-06-01,12,0,19,53,25,0,14,59,0,80,44,57,73,1,72,68,72,8,26,74,12,2,76,63,29,66,59,44,71,34,79,22,19,68,80,58,58,30,18,78,49,0,36,13,50,61,83,56,3,64,3,34,15,9,53,28,82,0,4,51,48,7,86,76,0,49,75,2,71,32,53,50,74,50,79,33,51,5,28,24,60,28,17,1,26,59,35,66,25,10,65,38,1,30,7,77,17,35,24,25,39,66,1,36,0,31,51,82,0,0,56,80,72,0,0,6,1,25,0,0,0,0,62,2,0,5,1,22,92,60,74,79,35,31,53,26,38,56,49,4,74,79,34,39,17,84,2,19,0,81,21,63,11,1,53,49,2,25,54,64,66,24,0,82,0,76,10,36,0,100,0,1,64,3,55,74,25,77,48,49,3,24,29,42,76,65,80,0,78,61,3,0,48,0,90,34,37,71,83,83,2,65,75,0,49,27,5,75,66,32,24,45,13,69,34,79,10,1,39,33,65,86,64,48,32,46,24,35,65,45,8,65,61,87,6,9,0,36,80,67,72,24
2020-06-02,12,1,19,53,23,0,12,56,0,73,37,58,63,1,65,67,68,4,27,70,10,0,83,69,23,69,43,29,66,12,70,17,18,71,84,38,59,35,18,76,50,1,41,12,53,74,84,53,3,78,2,43,35,9,43,28,82,0,13,50,52,21,89,75,0,55,70,2,68,45,52,36,65,55,59,44,34,4,20,33,47,32,8,0,27,66,31,58,11,9,67,39,0,20,13,78,16,40,24,44,56,65,0,0,5,29,58,77,0,0,64,77,56,0,0,6,1,25,0,0,0,0,61,2,0,5,0,24,100,61,72,79,32,27,32,24,33,49,47,5,73,79,33,40,14,89,2,23,0,82,17,64,11,0,52,38,4,18,52,77,68,20,8,23,0,70,0,47,0,49,0,0,82,3,53,72,25,73,63,50,3,16,27,44,68,65,80,0,88,60,0,17,47,0,91,39,45,76,73,83,2,67,73,0,58,46,0,75,54,35,20,48,11,70,36,80,8,2,34,24,65,86,48,37,37,58,21,68,77,41,7,56,73,82,5,8,0,42,44,57,77,61
2020-06-03,13,0,21,53,27,0,11,57,40,76,46,64,92,2,72,68,63,4,25,72,8,2,75,70,30,65,39,34,63,20,81,16,20,63,87,55,57,42,25,81,52,1,39,11,50,72,86,45,0,54,3,19,19,10,32,29,83,0,14,52,53,37,100,70,0,56,71,0,70,69,55,32,58,42,39,26,37,3,8,36,54,30,0,1,27,63,31,66,8,9,82,39,1,29,6,75,17,38,25,24,48,79,0,33,0,39,57,81,0,0,64,83,76,0,0,6,2,32,0,0,1,1,62,2,0,5,1,23,90,55,76,83,33,27,40,32,27,52,48,9,75,82,29,23,17,88,2,22,0,81,14,75,12,0,0,42,3,18,61,75,81,26,8,0,0,78,0,63,0,37,0,1,67,2,61,76,25,71,58,67,4,7,40,45,68,65,82,0,82,59,0,32,49,0,87,32,40,83,86,86,2,74,72,0,40,61,0,76,61,32,17,45,4,69,40,84,7,1,36,22,63,91,72,30,26,47,23,16,80,56,7,59,68,84,5,6,0,51,64,60,78,39
2020-06-04,12,1,34,56,30,0,14,57,0,78,47,64,91,1,76,67,73,11,22,71,10,2,75,82,46,67,48,34,71,27,79,17,21,67,84,80,56,35,19,85,54,0,39,11,60,78,84,57,0,50,2,28,24,9,52,28,86,2,14,50,68,34,93,85,0,57,71,0,71,47,56,30,63,64,61,39,36,7,38,14,50,27,8,1,34,56,30,67,8,8,81,47,1,26,12,71,18,38,26,47,48,78,0,20,0,41,61,89,0,0,60,82,91,0,0,6,2,28,0,1,0,0,63,2,0,6,1,27,86,54,73,83,38,29,48,41,34,41,45,2,80,81,34,34,14,90,2,30,0,83,20,77,11,1,33,43,7,17,66,71,75,33,0,22,0,77,0,60,0,34,0,0,98,3,54,73,24,71,50,63,5,17,48,45,72,67,84,0,77,58,1,16,52,0,91,50,32,76,86,82,3,69,74,0,34,36,15,82,66,30,16,48,7,72,41,79,8,71,49,27,72,98,70,39,44,62,25,52,66,47,8,65,84,83,5,7,0,34,65,52,75,52
2020-06-05,12,0,23,62,22,0,13,60,0,76,45,64,88,1,76,65,78,0,24,69,12,0,79,64,47,68,44,41,71,34,92,19,19,75,83,41,55,33,32,72,50,1,43,12,64,82,82,66,3,55,5,49,10,8,51,30,85,0,4,47,56,21,90,74,0,63,72,1,77,53,55,34,55,60,58,45,42,7,12,42,60,28,16,0,23,68,33,65,15,9,78,42,0,38,45,78,18,52,25,24,45,90,1,48,0,34,66,82,0,0,60,81,69,0,0,6,1,26,0,0,3,0,64,1,0,6,0,24,86,57,75,80,32,32,50,32,34,48,39,5,76,79,48,30,22,90,2,15,0,89,19,75,15,0,67,45,0,16,60,87,82,30,0,45,0,77,0,69,0,34,0,0,55,3,60,66,22,75,61,73,4,10,28,49,73,70,80,0,83,58,0,16,56,1,90,39,30,74,89,81,3,71,77,100,60,39,21,86,66,32,14,50,19,73,58,82,8,100,39,26,71,94,69,33,36,60,23,17,82,44,6,53,62,80,6,7,55,29,58,43,76,25
2020-06-06,14,0,25,69,29,0,17,70,0,70,54,66,97,1,86,69,85,4,24,80,13,3,81,96,28,71,42,43,70,44,93,20,24,61,79,65,71,43,28,93,59,1,42,12,47,80,89,67,0,55,2,53,23,8,62,31,63,0,10,50,52,32,87,81,0,73,72,0,77,82,51,39,75,75,75,67,46,6,59,54,65,32,9,0,29,79,40,73,10,10,63,45,0,31,44,73,17,47,25,42,64,78,1,71,0,37,66,76,0,0,55,91,96,0,0,6,0,28,0,1,0,0,64,1,0,10,0,23,84,47,76,81,42,33,41,32,31,13,41,6,69,88,49,34,22,89,0,15,0,86,21,80,20,0,39,43,2,20,68,87,78,31,9,26,0,89,0,71,0,37,0,1,61,3,75,55,28,84,51,81,3,18,32,49,77,77,80,0,90,63,1,0,55,0,95,56,38,85,84,80,2,80,85,97,58,40,6,89,76,35,16,52,22,59,67,85,10,36,37,23,81,75,54,32,29,76,24,38,74,61,7,66,76,75,6,5,0,54,69,52,68,43
