date,Love The Way You Lie,Dynamite,California Gurls,I Like It,Teenage Dream,Cooler Than Me,DJ Got Us Fallin' In Love,Mine,Airplanes,Ridin' Solo,Magic,Billionaire,Find Your Love,Not Afraid,OMG,Just The Way You Are,Your Love,Club Can't Handle Me,Misery,Take It Off,"Hey, Soul Sister",Bottoms Up,Break Your Heart,The Only Exception,Bulletproof,Stuck Like Glue,There Goes My Baby,Alejandro,The Boys of Fall,Impossible,Teach Me How To Dougie,Smile,Need You Now,Pretty Boy Swag,Half Of My Heart,Your Love Is My Drug,All About Tonight,Free,Deuces,Got Your Back,Secrets,If I Had You,Unthinkable,Breakeven,Undo It,Love Like Crazy,"Lover, Lover",Pretty Good At Drinkin' Beer,Miss Me,If It's Love,If I Die Young,Ride,King Of Anything,Animal,La La La,Gettin' Over You,POWER,Circle The Drain,My First Kiss,Blowin Money Fast,I'm In,Our Kind Of Love,Letting Go Dutty Love,Rockstar 101,Little White Church,Round & Round,2012 It Ain't The End,Waka Waka This Time For Africa,Kissin U,Come Back Song,Break My Bank,Hello Good Morning,Love All Over Me,Farmer's Daughter,Champagne Life,143,As She's Walking Away,Glitter In The Air,Bittersweet,The Catalyst,Roll With It,Rock That Body,All Over Me,This Afternoon,Fancy,Somebody To Love,Lose My Mind,This Ain't Nothin',Bed Intruder Song,Water,September,Like A G6,The Man Who Can't Be Moved,Hold You Hold Yuh,Mockingbird,Rhythm of Love,Love Like Woe,Little Lion Man,Lay Me Down,Hot Tottie,Nothin' On You,Not Like The Movies,Rain Is A Good Thing,I Never Told You,The House That Built Me,Beautiful Monster,Pray For You,We'll Be A Dream,Crazy Town,Sex Room,All I Do Is Win,In My Head,Haven't Met You Yet,Get Ready Its a new day,Nightmare,She Won't Be Lonely Long,The Crow & The Butterfly,Cuando Me Enamoro,Over,Jar Of Hearts,Can't Be Tamed,Ordinary Girl,Aston Martin Music,Eenie Meenie,If We Ever Meet Again,Opposite Of Adults,No Love,The Man I Want To Be,Wavin' Flag,Rude Boy,Telephone,Whataya Want From Me,My Chick Bad,Gimmie That Girl,Shark In The Water,Neighbors Know My Name,Up On The Ridge,Never Say Never,Young Forever,I Gotta Feeling,Outta Your Mind,Wrong Baby Wrong,I Can Do Anything,TiK ToK,Won't Back Down,Cold Wind Blows,Stay,I Keep On Loving You,Talkin' 2 Myself,Up All Night,25 To Life,I'm Back,I Made It Cash Money Heroes,Bad Romance,9 AM In Dallas,Hey,Fireworks,Winner,Another Way To Die,Lil Freak,Double Vision,Solo,Finding My Way Back,Faithfully,Over The Rainbow,Any way you want it,Don't Stop Believin',Bionic,Not Myself Tonight,To Sir With Love,Bohemian Rhapsody,"Beamer, Benz, Or Bentley",Poker Face,I Gotta Get To You,Keep On Lovin' You,Everything To Me,Woohoo,Yeah Ya Know Takers,Imma Be,Hey Daddy Daddy's Home,Baby,You And Your Heart,Good Vibrations,Beautiful Day,Deja Vu,Hallelujah,Another One Bites The Dust,Falling Slowly,Unstoppable,Tell Me Something Good,Loser,It's a man's world,Dirty Picture,Roger That,Say Aah,All The Right Moves,Carry Out,Up To The Mountain,American Honey,Beth,Leave Right Now,Ain't Back Yet,Highway 20 Ride,The Boxer,Touchin On My,Dream On,Who Dat,I Dreamed A Dream,Jessie's Girl,Super High,Neutron Star Collision Love Is Forever,Say Something,Safety Dance,Steady Mobbin',Hell On The Heart,Blah Blah Blah,Pyramid,A Little More Country Than That,Today Was A Fairytale,Window Seat
2010-05-11,0,23,26,33,1,19,0,37,75,41,78,37,96,34,62,4,82,0,35,21,29,3,66,51,81,0,24,25,2,67,12,80,56,11,29,50,6,72,17,5,38,25,13,71,30,45,14,0,15,36,3,72,52,98,94,7,91,0,52,0,78,18,0,11,30,26,0,1,22,28,0,12,10,55,3,76,0,32,57,5,27,50,32,50,81,15,34,45,0,83,15,11,25,34,71,23,19,38,54,5,62,1,61,70,49,1,71,8,47,55,49,67,90,0,33,51,0,10,68,0,41,6,0,51,77,58,39,45,26,55,87,57,56,56,23,58,22,18,56,51,8,83,29,55,4,1,81,100,0,14,6,60,31,62,0,71,1,24,4,63,40,79,0,21,28,8,16,35,38,3,31,24,38,51,25,92,46,0,61,0,84,62,35,20,32,23,34,7,66,6,15,28,47,81,42,50,63,0,98,63,5,48,68,41,0,25,24,5,12,48,14,59,7,84,91,61,74,27,48,20
2010-05-12,0,25,28,34,1,20,0,45,79,32,79,33,100,45,65,2,85,0,34,21,35,2,70,43,81,2,23,26,2,67,9,76,69,15,26,50,18,75,21,3,39,21,28,75,36,47,43,0,15,31,2,68,27,89,99,13,95,0,46,0,70,7,0,7,47,16,0,2,37,22,0,22,11,33,0,72,0,37,70,4,8,43,32,57,85,19,44,23,0,82,14,13,15,35,65,6,27,16,64,0,65,3,56,58,88,2,63,23,50,57,38,71,43,0,32,39,0,9,66,0,32,3,0,54,58,63,37,74,27,56,85,51,71,100,37,100,33,15,48,53,8,47,38,67,2,1,82,39,0,16,7,71,32,64,0,73,1,22,6,69,28,81,40,16,25,13,48,40,39,2,40,0,43,11,76,87,49,0,66,0,88,55,25,16,28,20,46,100,39,3,40,0,52,82,57,60,76,0,95,70,4,41,30,36,0,29,38,27,100,53,18,58,21,83,84,73,81,83,54,22
2010-05-13,0,24,28,33,0,22,0,41,76,44,78,40,93,91,65,5,89,0,28,22,42,3,68,61,69,0,26,26,3,73,10,83,73,18,26,74,6,75,18,3,40,25,36,88,40,46,30,0,20,23,1,71,13,95,97,25,95,0,39,0,71,8,0,9,38,22,0,3,36,22,0,60,9,23,0,94,0,38,76,5,29,62,32,61,91,18,49,0,0,82,15,6,27,36,73,36,31,36,56,3,85,2,68,68,93,1,76,24,50,59,53,62,66,0,36,47,0,10,63,0,36,2,0,54,62,67,37,59,32,63,80,60,90,52,56,65,6,19,54,57,14,70,44,65,6,0,85,41,3,13,2,78,44,66,0,79,1,25,5,60,34,85,14,22,26,9,8,32,34,1,56,0,48,22,26,66,36,0,62,0,87,57,17,21,34,23,42,83,59,2,19,10,65,68,45,50,58,1,87,64,16,59,41,49,0,31,18,16,74,61,19,62,9,79,44,77,86,72,47,19
2010-05-14,0,25,25,35,0,25,0,39,71,44,85,41,79,48,68,2,86,0,30,24,32,2,67,68,69,0,23,23,0,76,12,76,70,22,11,88,19,74,17,2,39,25,26,79,26,28,16,0,16,21,2,71,17,87,92,18,90,0,41,0,70,0,0,4,11,17,0,3,31,31,0,53,14,42,3,69,0,26,69,5,21,69,28,55,86,21,45,37,0,78,13,11,28,28,63,12,21,42,54,3,68,0,50,33,65,1,65,34,75,67,51,66,31,0,33,21,0,9,64,0,31,2,0,63,72,55,42,86,30,67,85,58,72,54,50,64,24,19,51,61,9,26,82,67,2,0,81,68,0,16,6,71,0,75,0,81,1,22,6,77,38,87,29,22,27,23,9,41,36,1,44,81,45,34,41,79,53,0,56,0,86,52,16,16,43,23,35,36,49,2,12,21,62,75,61,54,65,1,73,68,3,26,70,52,0,32,29,13,49,45,12,76,19,79,100,79,74,52,56,24
2010-05-15,0,28,35,39,1,30,0,42,77,53,94,48,88,49,71,6,95,0,40,29,47,5,89,73,96,1,17,29,0,83,13,82,80,23,24,100,16,90,17,4,46,21,26,91,32,59,19,0,20,30,5,83,13,86,96,18,85,1,46,0,78,0,0,5,21,50,0,2,81,24,0,58,14,30,3,89,0,30,73,4,0,98,39,59,93,21,46,15,0,65,13,19,21,23,36,15,24,41,67,4,76,1,79,86,52,2,80,10,48,79,62,87,66,0,43,9,51,10,66,0,30,5,0,74,81,61,50,61,44,84,78,67,76,48,52,50,0,20,66,92,18,95,40,93,6,0,75,53,0,17,12,86,72,94,0,98,1,28,3,65,14,98,36,22,51,28,43,40,45,3,48,0,65,85,0,74,46,0,86,0,94,55,36,24,58,27,46,36,57,2,13,26,97,84,63,60,89,1,91,62,7,33,60,48,0,35,23,10,34,50,10,79,13,92,40,90,70,65,86,30
2010-05-16,0,34,37,39,1,19,0,41,90,57,97,50,88,44,72,6,99,0,40,31,46,4,87,73,84,0,15,27,0,85,14,81,80,15,30,89,38,85,13,8,50,20,24,100,34,42,19,0,18,59,3,77,4,83,93,20,87,0,69,0,86,9,0,6,14,38,0,3,37,5,0,46,17,44,0,61,0,36,82,4,10,83,34,62,90,19,44,30,0,76,15,17,27,34,63,23,28,26,59,0,87,5,40,72,51,1,66,51,100,59,57,94,79,0,42,25,0,10,71,0,35,6,4,66,81,84,45,82,34,81,68,70,73,75,54,72,29,23,61,78,7,57,44,78,4,0,89,62,0,14,7,78,14,82,0,89,1,30,10,50,36,92,70,21,78,16,41,52,42,1,63,0,50,96,49,79,28,0,82,0,96,70,25,21,42,28,37,34,84,4,13,38,67,81,74,61,82,1,77,55,4,64,58,52,0,33,38,14,60,49,19,82,13,77,55,90,76,18,77,17
2010-05-17,0,28,27,30,0,24,0,38,80,39,79,41,77,40,62,3,80,0,32,21,34,5,61,66,66,1,23,25,3,69,10,77,69,23,18,70,11,73,11,2,39,25,22,70,29,54,28,0,17,27,3,77,8,100,92,13,96,0,55,0,82,0,0,5,41,18,0,2,36,18,3,41,9,27,0,67,0,36,61,5,12,39,29,78,83,16,45,11,0,88,15,12,15,26,73,34,21,28,56,0,88,7,55,73,59,1,81,8,63,52,46,64,62,0,35,38,37,9,73,0,23,5,3,54,59,72,38,61,24,49,84,52,65,70,35,33,27,15,41,52,13,66,33,48,5,0,84,69,0,14,4,72,31,55,0,71,1,62,1,61,52,80,13,21,44,29,23,38,27,1,45,24,35,31,25,69,19,0,50,0,84,59,22,14,31,22,24,18,47,4,13,0,53,67,36,48,60,2,64,68,1,40,34,46,4,29,28,9,33,50,59,92,12,56,62,57,77,40,39,17
2010-05-18,0,25,24,33,1,20,0,41,80,51,85,38,75,38,61,3,80,1,33,20,39,3,56,49,85,0,29,26,2,72,10,78,67,17,23,68,46,74,12,8,41,25,17,85,29,59,57,12,17,36,1,75,11,95,96,27,94,0,51,0,74,7,0,12,41,34,0,1,48,7,3,44,6,27,3,65,0,33,57,4,23,46,20,68,86,17,45,11,0,86,15,9,20,34,78,6,19,36,68,5,62,1,49,54,59,1,74,23,57,49,59,64,59,0,41,19,0,10,72,0,32,3,0,54,55,84,42,67,25,52,81,44,66,56,35,40,11,24,42,45,3,63,46,55,5,0,91,31,0,11,5,64,21,58,0,73,1,42,4,75,22,84,0,29,29,37,16,46,27,3,51,25,36,41,74,94,23,0,57,0,86,62,25,22,32,20,36,13,58,6,17,10,66,78,52,53,63,1,84,72,3,48,54,35,71,34,17,16,29,73,25,74,9,91,54,56,77,34,51,17
2010-05-19,0,25,19,30,1,21,0,39,72,43,91,38,65,37,79,5,81,1,29,24,50,4,73,47,74,1,27,26,0,73,11,78,68,16,15,69,41,74,14,5,45,14,25,67,35,37,14,0,21,31,1,73,9,90,98,32,96,0,55,0,79,11,0,18,52,27,0,2,34,11,0,36,6,50,3,65,0,20,66,6,12,50,19,62,88,18,37,34,0,85,15,9,36,52,75,6,10,34,50,0,60,3,53,54,58,0,65,31,60,62,44,70,43,0,36,65,0,9,72,0,38,2,0,60,63,51,38,97,25,54,83,64,53,29,21,50,22,24,45,58,24,67,42,54,1,0,85,79,0,11,3,64,0,65,0,77,1,30,8,54,38,82,0,18,29,4,8,57,28,2,40,0,46,73,38,68,39,0,74,0,84,63,21,25,33,100,24,17,66,6,55,10,74,71,47,61,64,1,59,75,5,41,30,39,83,100,23,100,33,77,21,72,100,76,46,65,72,41,59,19
2010-05-20,0,21,24,33,0,24,0,40,77,39,77,40,66,36,90,4,76,0,27,28,31,5,63,61,78,0,26,27,0,75,14,85,58,22,28,67,18,75,10,4,42,26,27,76,43,45,59,0,18,26,3,75,13,90,100,39,92,0,47,0,75,4,0,13,21,24,0,2,29,15,0,33,16,51,0,72,0,36,53,3,12,58,33,73,80,23,46,12,0,84,13,13,31,89,71,0,28,39,58,6,62,2,29,56,60,1,78,40,42,53,42,67,62,0,35,60,0,9,67,0,38,1,0,63,48,57,34,23,28,58,80,45,61,36,41,66,11,23,45,64,11,55,48,54,3,0,83,64,0,13,5,69,0,61,34,72,1,28,4,60,39,84,27,19,28,13,16,45,27,4,38,26,44,43,39,53,41,0,57,0,86,62,38,19,33,63,37,18,46,5,23,10,51,78,41,49,68,1,71,63,36,50,36,82,77,70,18,78,26,56,18,62,78,78,52,54,73,28,60,20
2010-05-21,0,26,29,32,1,19,0,39,70,42,81,39,71,34,100,3,82,0,31,17,38,3,77,53,71,0,26,28,0,80,14,82,60,24,23,68,13,78,7,4,41,28,26,74,25,37,47,13,26,34,5,78,7,88,91,31,91,0,45,0,68,8,0,22,17,23,0,2,44,47,4,34,4,37,0,67,0,36,58,6,22,52,35,52,81,25,52,50,0,81,13,7,22,29,61,25,21,40,75,0,63,1,61,59,66,2,85,43,58,55,48,63,41,0,38,78,0,14,64,0,36,6,3,57,45,69,39,44,30,57,79,49,68,39,31,76,36,18,45,55,3,48,74,62,2,0,79,43,0,14,11,62,12,63,82,79,1,26,4,78,28,85,15,18,26,14,0,47,32,1,45,0,44,46,0,55,31,0,49,78,86,45,29,19,33,49,44,13,44,5,15,0,73,74,29,53,68,1,66,67,12,44,44,46,31,51,40,48,46,47,23,62,57,72,55,78,64,90,66,13
2010-05-22,0,27,36,39,1,36,0,41,87,48,92,56,68,34,88,2,89,0,36,27,35,7,93,66,93,1,28,32,2,88,18,82,77,21,23,83,25,92,8,1,51,26,30,79,36,51,81,0,33,24,0,79,11,89,93,45,82,0,46,0,75,5,0,19,37,22,0,1,80,40,0,50,5,63,7,82,0,54,61,2,11,77,28,77,74,31,40,16,0,69,13,15,22,61,53,16,17,31,55,4,93,1,48,58,63,4,74,11,64,64,50,77,52,0,43,46,53,22,70,0,44,4,0,86,82,86,46,32,39,76,73,84,66,30,60,40,31,23,56,73,27,66,48,80,5,2,79,44,0,20,10,62,30,86,100,95,2,31,5,88,35,99,38,21,91,18,78,48,47,2,47,35,62,59,53,85,43,0,65,100,92,60,34,28,39,45,43,20,62,4,13,27,49,84,47,58,82,1,66,65,9,57,42,70,56,55,35,42,35,89,25,80,56,70,59,88,70,29,100,19
2010-05-23,0,25,37,41,0,29,0,41,82,60,100,52,73,41,84,4,92,0,36,24,49,5,83,72,100,0,26,29,0,87,18,84,75,15,27,85,33,89,13,3,51,26,94,83,31,42,100,17,32,35,3,80,15,88,92,40,87,0,56,0,80,10,0,18,29,30,0,4,80,45,0,38,12,85,7,67,0,26,71,2,33,71,31,66,85,36,52,16,0,79,15,12,14,0,70,24,30,31,77,0,87,0,60,78,100,2,88,33,93,66,45,76,88,0,42,45,53,17,80,0,39,4,0,72,67,68,49,40,32,64,65,100,64,40,77,60,31,25,47,65,4,61,59,75,8,0,84,87,0,26,9,69,30,82,31,85,3,29,2,67,21,98,0,21,100,12,33,49,36,1,50,35,54,58,35,88,38,0,53,0,94,65,21,22,38,37,39,16,97,2,13,13,78,64,69,58,74,2,58,68,8,79,35,71,100,47,21,38,64,54,25,71,68,67,53,80,71,77,70,18
