date,Stay,Bad Habits,Good 4 U,Rumors,Kiss Me More,Levitating,Industry Baby,Butter,Deja Vu,Montero (Call Me By Your Name),Save Your Tears,Fancy Like,Take My Breath,Peaches,Leave The Door Open,Essence,You Right,Happier Than Ever,Heartbreak Anniversary,Need To Know,Blinding Lights,Glad You Exist,Leave Before You Love Me,Every Chance I Get,Forever After All,Late At Night,Thot Shit,Rapstar,Traitor,Waves,Skate,Without You,Pepas,Heat Waves,Wockesha,Astronaut In The Ocean,Things A Man Oughta Know,Arcade,Lil Bit,Famous Friends,Beautiful Mistakes,Beggin',Country Again,Chasing After You,Volvi,Drinkin' Beer  Talkin' God  Amen ,We Didn't Have Much,If I Didn't Love You,Whole Lotta Money,Cold Beer Calling My Name,2055,Single Saturday Night,Motley Crew,Todo de Ti,A-O-K,Yonaguni,Wild Side,Love Again,Ain't Shit,Drunk (And I Don't Wanna Go Home),You,Memory,You Should Probably Leave,Don't Go Yet,Paralyzed,Permission To Dance,I Was On A Boat That Day,Woman,Tombstone,My Boy,Gyalis,Memory I Don't Mess With,Come Through,You Time,Get Into It (Yuh),Buy Dirt,Cold As You,Mind Of Melvin,Papercuts,Baddest,Cold Heart (PNAU Remix),SUVs (Black On Black),Straightenin,Blame It On You,AM,Hats Off,Knowing You,Over The Top,Brainwashed,my life,Thinking 'Bout You,WUSYANAME,Favorite Crime,Outside,Ball If I Want To,Next Girl,I Like Dat,Steal My Love,Repeat It,5500 Degrees,Telepatia,My Ex's Best Friend,NDA,EPMD 2,Lose,I Hope Ur Miserable Until Ur Dead,Not Sober,Happier,Twerkulator,Fiel,Rare,Best Friend,Mood,One Too Many,Getting Older,Billie Bossa Nova,Oxytocin,I Didn't Change My Number,Way Less Sad,Lost Cause,Halley's Comet,My Future,Build A Bitch,From The Garden,Working,Wants And Needs,Settling Down,Gone,Red Light Green Light,Better Believe,Lick Back,Ski,Brutal,Minimum Wage,Holy Smokes,Still Chose You,Drivers License,Tell The Vision,pov,Bout A Million,Woo Baby,Mr  Jones,More Time,Manslaughter,Demeanor,transparentsoul,Am I The Only One,30,"Jealousy, Jealousy",Calling My Phone,Breaking Up Was Easy In The 90's,The Jackie,Follow You,Volando,4 Da Gang,De Museo,Wasting Time,All I Know So Far,Miss The Rage,Track Star,Renegade,Cry No More,Made For You,Having Our Way,What's Next,Enough For You,Juggernaut,Tell Em,Lemonhead,Lumberjack,Almost Maybes,Hot Wind Blows,Corso,I Don't Do Drugs,Sir Baudelaire,Sweet / I Thought You Wanted To Dance,Massa,RunItUp,Manifesto,Wilshire,Rise,What You Know Bout Love,Time Today,Up,Beat Box,Nobody,No Return,No More Parties,Quicksand,Gang Gang,Pick Up Your Feelings,Avalanche,We're Good,pride is the devil,Still Runnin,How It Feels,Black Hearted,Painting Pictures,Modern Day,Toxic,Solar Power,Malibu,Type Shit,Clueless,Voice Of The Heroes,Heart Of A Giant,Party Lyfe,Go Part 1,Epidemic,Boom,2040,"1 Step Forward, 3 Steps Back",Bloody Canvas,Who I Want,Back In Blood,Still Hood,Okay,Man Of My Word,Medical,Rich Off Pain,Lying,Snowflakes,That's Facts,Your Power,Please,Up The Side,Hope Ur OK,If You Want To,Seeing Green,The Good Ones,Hell Of A View,On Me,Killer,amari,Maybach,Goosebumps,Solid,Hello,The Business,95 south,Drankin N Smokin,Hold On,Wasted On You,Botella Tras Botella,Sun Goes Down,interlude,applying pressure,Streets,100 mil',let go my hand,24 Hours,punchin' the clock,the climb back
2021-05-11,84,4,1,14,68,75,0,33,69,65,50,3,5,54,68,60,87,2,81,55,74,56,0,45,51,24,0,69,18,83,11,85,11,56,70,58,46,57,45,39,41,1,40,42,2,0,25,4,9,13,54,43,10,6,11,0,8,48,7,0,81,91,18,2,59,0,0,60,37,75,7,0,72,83,2,28,67,0,1,73,0,13,0,69,88,37,100,21,15,75,16,0,0,83,0,28,30,13,66,0,78,19,19,0,94,0,4,9,7,67,77,21,90,73,11,0,19,0,36,5,3,66,6,64,77,29,69,69,66,19,42,60,47,93,11,3,87,1,60,0,5,55,92,60,25,0,8,55,0,59,44,49,92,24,40,58,15,37,22,50,53,43,96,11,87,21,40,30,5,37,52,0,86,3,0,0,78,0,56,45,77,62,63,77,57,53,74,65,77,69,90,33,81,0,0,95,3,36,57,89,20,68,6,18,2,0,0,12,36,77,85,0,0,75,57,16,86,51,86,0,85,32,28,48,88,79,0,95,2,76,46,66,33,5,47,73,94,75,94,9,28,82,40,67,10,17,10,87,63,1,62,0,6
2021-05-12,80,4,2,13,73,81,0,33,71,95,45,2,8,57,66,63,87,1,83,50,65,57,0,66,79,22,0,75,18,82,11,85,11,50,84,61,62,58,57,46,35,2,35,43,4,0,100,4,14,39,51,9,3,7,49,0,10,48,5,47,85,89,3,0,49,0,0,58,35,66,0,28,76,83,1,40,66,0,5,58,0,0,0,52,89,40,94,23,16,78,31,0,0,83,7,29,24,7,100,0,89,0,18,0,88,0,14,8,10,67,78,20,88,88,12,0,18,0,65,5,2,85,6,42,77,28,87,69,50,14,46,58,47,98,17,3,85,2,61,0,5,48,95,62,29,20,6,58,0,52,45,51,96,26,51,61,13,54,26,45,59,22,84,13,75,23,32,28,3,41,21,4,93,4,0,0,78,0,51,48,80,84,57,80,67,55,73,57,77,69,54,21,83,0,0,91,1,30,62,86,20,70,4,18,2,0,0,12,37,77,86,0,0,78,46,6,84,47,84,0,91,30,14,46,88,77,0,92,1,64,52,65,32,12,50,74,93,74,88,9,28,88,43,55,10,17,10,83,48,4,57,0,6
2021-05-13,85,6,7,13,82,89,0,31,77,57,45,2,7,58,77,64,81,2,69,55,76,43,3,56,54,32,0,78,17,81,11,87,13,54,78,59,38,56,53,41,48,2,24,48,5,0,26,4,10,7,38,23,7,7,29,0,10,50,7,0,85,88,22,4,58,0,0,63,34,77,8,0,94,87,0,24,87,0,2,59,0,0,7,78,90,38,96,25,19,81,23,0,0,86,7,33,12,19,80,0,78,80,19,0,87,0,7,8,6,71,80,21,91,81,12,0,21,0,34,6,7,87,14,56,75,34,90,74,48,22,24,63,47,94,15,6,79,3,74,0,8,53,94,66,40,0,10,52,0,49,47,64,95,26,47,64,17,56,19,53,63,30,91,6,74,24,32,27,7,38,33,0,94,0,0,0,80,0,55,44,80,55,46,78,56,60,66,67,79,71,84,35,100,0,0,84,0,33,57,91,21,72,9,19,1,4,0,26,32,79,85,0,0,79,49,57,83,49,79,0,90,29,15,42,83,85,0,92,1,89,34,68,33,11,58,69,94,71,89,8,30,83,42,46,9,17,5,78,58,3,55,0,9
2021-05-14,78,4,100,13,87,95,0,30,84,49,48,2,10,60,85,67,84,1,83,55,75,44,1,57,50,24,0,92,17,78,12,83,13,40,66,68,50,66,61,58,53,3,31,39,2,0,27,0,10,7,46,23,11,5,12,0,10,54,9,0,83,83,16,0,60,0,0,77,36,83,8,30,92,82,5,29,68,0,3,48,0,14,90,70,89,37,87,27,22,91,39,0,0,87,4,31,52,6,69,0,65,0,15,0,82,0,9,8,15,66,80,21,94,77,10,0,16,5,86,4,2,76,90,52,74,31,57,72,46,19,41,64,52,89,10,3,78,4,100,0,3,53,93,57,35,21,10,49,0,66,56,45,85,20,32,65,17,45,23,43,61,42,89,7,77,23,38,25,5,34,34,0,96,3,0,0,78,0,52,46,76,95,39,79,70,58,61,65,82,76,63,43,79,100,0,94,2,39,52,91,21,85,2,20,1,0,0,20,35,79,78,0,3,65,34,53,87,17,77,0,83,23,15,39,86,74,0,87,100,81,45,70,34,15,63,66,87,72,82,100,15,86,49,49,11,20,100,87,100,100,54,100,100
2021-05-15,80,4,83,11,94,100,0,33,86,80,46,1,8,66,95,71,78,1,89,47,82,30,0,81,56,32,0,77,17,72,15,84,15,45,57,75,48,75,48,45,78,3,58,65,4,25,0,0,14,7,37,30,3,8,32,0,13,60,7,54,86,81,17,0,61,0,0,100,40,84,4,0,85,82,1,41,48,0,1,72,0,0,100,75,91,40,86,25,12,92,64,0,0,94,0,38,78,28,43,0,98,66,16,0,76,0,7,9,10,65,90,23,94,53,12,0,19,0,75,4,2,65,100,64,70,25,76,78,56,12,31,73,53,71,28,3,62,3,66,0,8,59,78,42,39,0,7,45,0,60,69,58,100,19,58,72,13,37,19,50,67,21,78,8,83,16,47,20,5,38,25,2,96,2,0,0,78,0,44,41,79,78,60,82,70,70,66,59,77,83,75,22,68,37,0,76,3,29,46,89,16,100,10,24,0,0,6,25,31,80,67,0,0,63,42,13,90,18,52,0,85,25,17,37,77,56,0,89,53,100,54,83,40,11,62,79,85,72,70,54,16,83,53,62,13,14,49,87,72,47,63,22,34
2021-05-16,85,5,78,12,88,80,0,36,86,70,46,2,12,65,83,67,74,2,71,47,64,63,1,57,57,28,0,62,19,77,14,81,12,57,86,68,29,69,84,38,62,3,37,51,4,48,0,4,13,36,26,10,8,8,18,0,12,52,7,52,81,84,17,0,67,0,0,97,98,86,0,0,91,84,0,28,73,0,1,64,0,0,43,73,91,38,87,23,19,88,68,0,0,93,8,34,50,22,58,0,79,0,15,0,87,0,4,7,8,68,88,24,85,73,8,0,19,0,36,4,4,74,88,71,68,20,73,80,47,13,34,71,49,75,9,3,67,1,61,0,4,65,79,43,32,65,7,46,0,67,75,58,87,20,39,62,12,19,17,42,67,40,86,9,58,20,41,21,6,46,47,0,84,0,0,0,75,0,45,30,83,52,48,79,96,74,69,63,82,77,84,21,64,33,0,55,0,43,47,99,19,90,7,22,1,4,0,27,27,74,57,0,0,63,32,24,91,52,51,0,80,31,32,40,73,77,0,87,32,62,83,79,38,9,56,70,85,76,64,32,63,82,45,68,10,12,29,83,59,30,66,15,28
2021-05-17,83,5,74,13,73,80,0,31,75,44,37,2,8,55,66,61,87,1,78,53,56,53,3,54,52,30,0,66,15,85,11,84,12,53,89,62,31,58,52,38,59,2,45,43,4,0,0,8,9,7,50,31,13,5,11,0,10,44,10,0,81,88,100,0,58,0,8,74,45,80,4,0,90,85,0,38,62,0,3,47,0,0,25,66,93,35,89,24,28,81,73,0,0,84,4,32,61,6,72,0,80,0,18,0,97,0,6,8,13,59,76,20,91,67,14,0,18,0,57,5,4,77,73,66,75,33,33,73,56,22,35,66,51,88,16,3,87,1,53,0,1,47,91,60,33,0,7,48,0,66,53,47,97,22,31,59,11,20,20,45,61,29,90,6,82,20,38,30,6,46,11,0,85,3,0,0,75,0,48,55,77,79,37,77,51,53,79,57,69,71,87,25,82,19,0,65,1,40,51,88,23,72,4,21,1,0,0,16,33,78,79,0,0,76,52,28,85,47,89,0,92,24,0,35,85,100,0,95,27,58,66,70,33,10,51,54,99,76,94,25,14,81,32,49,10,12,19,84,57,20,58,6,25
2021-05-18,80,6,73,13,76,75,0,34,74,52,33,2,6,55,79,60,86,3,72,52,62,26,0,53,56,24,0,56,16,79,11,80,10,50,79,58,21,62,43,41,52,2,41,23,4,21,0,0,8,0,50,18,6,8,27,0,10,45,9,0,79,91,36,0,57,0,4,70,34,75,2,0,100,83,1,50,50,0,0,53,0,0,23,42,90,40,94,23,14,79,31,0,1,87,0,30,36,26,79,0,74,19,20,0,97,0,6,9,29,61,73,21,92,100,12,0,17,5,52,5,2,82,75,68,79,34,49,85,47,22,27,61,45,92,18,8,85,1,51,4,4,36,94,48,43,0,8,48,8,63,60,45,93,26,50,71,13,22,11,49,62,18,96,12,61,23,34,28,5,42,32,1,83,0,0,0,79,0,50,41,77,78,31,78,61,46,75,51,63,71,59,55,85,20,0,78,4,58,49,91,20,72,11,17,1,0,0,21,34,76,73,0,2,61,44,38,81,21,90,0,79,21,14,38,88,64,0,89,24,55,56,68,33,10,50,68,94,78,94,23,0,90,17,49,9,9,16,83,68,24,57,19,22
2021-05-19,80,7,85,12,75,79,0,33,76,62,36,2,8,56,73,63,82,2,79,57,62,36,4,40,50,23,0,81,15,84,11,81,11,53,61,76,35,61,52,48,51,2,44,45,3,0,24,4,7,19,45,30,7,8,27,0,9,40,8,0,80,88,35,6,57,0,4,64,33,70,5,28,84,83,1,35,86,0,1,58,0,0,22,73,92,36,85,23,18,78,61,0,0,82,6,27,44,32,81,0,70,0,22,0,94,0,5,9,34,66,72,21,87,92,7,0,22,0,32,3,5,86,77,58,78,21,32,86,51,19,19,61,47,98,14,5,78,1,51,0,11,51,86,51,35,19,7,48,8,62,29,48,94,23,30,72,14,29,14,50,59,18,96,4,68,20,35,31,2,44,0,1,86,0,0,0,80,0,52,41,74,77,32,76,55,48,72,67,85,69,42,25,84,20,0,78,3,44,46,87,20,73,12,17,0,0,0,24,76,74,88,0,0,100,47,5,85,61,87,0,90,26,0,36,85,69,0,91,18,67,64,68,31,7,48,61,96,75,93,26,28,83,51,49,11,9,16,82,60,11,60,3,15
2021-05-20,83,5,87,12,75,88,0,41,77,38,38,2,8,59,72,59,88,2,80,55,69,37,3,45,47,27,0,71,19,94,11,82,11,65,61,72,47,66,54,60,61,2,36,37,3,0,0,11,8,13,44,4,7,14,17,0,9,51,8,0,83,95,21,0,57,0,4,67,37,77,6,0,90,85,0,22,65,17,8,45,0,13,21,48,93,46,80,19,12,82,48,0,3,86,11,67,19,43,74,0,67,0,22,0,91,0,7,10,32,72,77,21,90,86,12,0,21,0,37,4,4,96,77,63,77,31,46,82,41,23,31,63,47,96,13,0,83,2,51,0,4,61,85,48,37,0,6,51,0,75,77,48,92,25,62,69,10,35,14,51,62,7,100,7,73,26,30,38,3,38,33,1,88,3,0,0,81,0,54,42,74,75,33,78,63,48,73,56,65,68,61,51,85,23,0,83,0,42,49,86,18,71,9,37,1,0,0,22,100,78,82,28,0,66,41,11,84,21,83,0,85,32,29,38,90,85,4,97,21,50,57,68,32,7,52,70,96,73,92,18,29,90,18,53,16,10,13,73,58,17,55,8,13
